# variables="x","y"
# zone, t="hill grid points"
# Note: there may be round-off errors
 # STRANDID=0, SOLUTIONTIME=0
 # I=197, J=129, K=1, ZONETYPE=Ordered
# DATAPACKING=BLOCK
 # DT=(SINGLE SINGLE SINGLE SINGLE SINGLE )
 -4.1576902E-09  3.2142855E-02  6.4285710E-02  9.6428573E-02  0.1285714    
  0.1607143      0.1928571      0.2250000      0.2571428      0.2892857    
  0.3214286      0.3535714      0.3857143      0.4178571      0.4500000    
  0.4821429      0.5142857      0.5467321      0.5794821      0.6125428    
  0.6459143      0.6796000      0.7136000      0.7479250      0.7825714    
  0.8175429      0.8528464      0.8884785      0.9244500      0.9607607    
  0.9974107       1.034407       1.071750       1.109446       1.147500    
   1.185911       1.224682       1.263818       1.303321       1.343200    
   1.383454       1.424086       1.465100       1.506504       1.548293    
   1.590479       1.633061       1.676046       1.719432       1.763229    
   1.807439       1.852064       1.897111       1.942582       1.988482    
   2.034814       2.081578       2.128789       2.176439       2.224543    
   2.273096       2.322111       2.371582       2.421521       2.471932    
   2.522818       2.574182       2.626029       2.678364       2.731196    
   2.784521       2.838350       2.892689       2.947536       3.002900    
   3.058786       3.115200       3.172143       3.229622       3.287643    
   3.346211       3.405332       3.465007       3.525246       3.586054    
   3.647432       3.709389       3.771929       3.835061       3.898782    
   3.963107       4.028039       4.093582       4.159739       4.226521    
   4.293932       4.361979       4.430668       4.500004       4.569336    
   4.638025       4.706071       4.773482       4.840264       4.906425    
   4.971964       5.036896       5.101222       5.164943       5.228075    
   5.290614       5.352571       5.413950       5.474757       5.534997    
   5.594671       5.653793       5.712361       5.770382       5.827861    
   5.884804       5.941218       5.997104       6.052468       6.107318    
   6.161654       6.215482       6.268807       6.321640       6.373975    
   6.425821       6.477186       6.528071       6.578482       6.628421    
   6.677896       6.726907       6.775461       6.823564       6.871214    
   6.918425       6.965193       7.011522       7.057421       7.102893    
   7.147939       7.192564       7.236775       7.280571       7.323961    
   7.366943       7.409525       7.451711       7.493504       7.534904    
   7.575918       7.616550       7.656804       7.696682       7.736186    
   7.775325       7.814096       7.852507       7.890557       7.928254    
   7.965597       8.002593       8.039247       8.075553       8.111525    
   8.147158       8.182461       8.217432       8.252078       8.286404    
   8.320407       8.354093       8.387461       8.420522       8.453275    
   8.485718       8.517860       8.550004       8.582147       8.614289    
   8.646432       8.678576       8.710718       8.742861       8.775003    
   8.807147       8.839290       8.871432       8.903575       8.935718    
   8.967860       9.000004     -3.7419209E-08  3.2143503E-02  6.4291403E-02
  9.6462391E-02  0.1286823      0.1609419      0.1932265      0.2255395    
  0.2578776      0.2902347      0.3225988      0.3549482      0.3872667    
  0.4195521      0.4518079      0.4840385      0.5162532      0.5487500    
  0.5815363      0.6146208      0.6480043      0.6816902      0.7156799    
  0.7499881      0.7846170      0.8195720      0.8548606      0.8904796    
  0.9264395      0.9627405      0.9993829       1.036373       1.073711    
   1.111401       1.149441       1.187832       1.226575       1.265673    
   1.305130       1.344949       1.385132       1.425680       1.466597    
   1.507896       1.549572       1.591638       1.634092       1.676942    
   1.720185       1.763831       1.807885       1.852349       1.897240    
   1.942614       1.988486       2.034815       2.081579       2.128791    
   2.176441       2.224545       2.273099       2.322113       2.371584    
   2.421524       2.471934       2.522820       2.574184       2.626030    
   2.678365       2.731198       2.784523       2.838351       2.892690    
   2.947536       3.002901       3.058786       3.115201       3.172143    
