station,y,u
-0.4572,0.0,0.0
-0.4572,0.0005099999835,0.5830000043
-0.4572,0.0006300000241,0.6079999804
-0.4572,0.0007599999662,0.628000021
-0.4572,0.0008899999666,0.6439999938
-0.4572,0.001019999967,0.6510000229
-0.4572,0.001270000008,0.6750000119
-0.4572,0.001519999932,0.6919999719
-0.4572,0.001779999933,0.7080000043
-0.4572,0.002029999858,0.7250000238
-0.4572,0.002289999975,0.7390000224
-0.4572,0.002540000016,0.7480000257
-0.4572,0.002790000057,0.7630000114
-0.4572,0.003049999941,0.7720000148
-0.4572,0.003559999866,0.7889999747
-0.4572,0.004059999716,0.8159999847
-0.4572,0.004570000339,0.8320000172
-0.4572,0.005080000032,0.84799999
-0.4572,0.005840000231,0.8730000257
-0.4572,0.006599999964,0.8930000067
-0.4572,0.007369999774,0.9139999747
-0.4572,0.008640000597,0.9449999928
-0.4572,0.01040999964,0.976000011
-0.4572,0.01294999942,0.996999979
-0.4572,0.01549000014,0.9990000129
-0.4572,0.01803000085,0.9990000129
-0.4572,0.02056999877,0.9980000257
-0.4572,0.02311000042,1.0
-0.4572,0.0256500002,1.0
-0.4572,0.02818999998,1.001000047
-0.4572,0.03072999977,1.001999974
-0.4572,0.03327000141,1.003000021
-0.4572,0.03581000119,0.9980000257
-0.4572,0.03834999725,0.9990000129
-0.4572,0.04089000076,1.0
-0.4572,0.04597000033,1.001000047
-0.4572,0.05104999989,1.001999974
-0.4572,0.05612999946,1.001999974
-0.4572,0.06120999902,1.003000021
-0.4572,0.06628999859,1.001999974
-0.3302,0.0,0.0
-0.3302,0.0005099999835,0.5860000253
-0.3302,0.0006300000241,0.6090000272
-0.3302,0.0007599999662,0.625
-0.3302,0.0008899999666,0.6389999986
-0.3302,0.001019999967,0.65200001
-0.3302,0.001270000008,0.6729999781
-0.3302,0.001519999932,0.6909999847
-0.3302,0.001779999933,0.7070000172
-0.3302,0.002029999858,0.7239999771
-0.3302,0.002289999975,0.7360000014
-0.3302,0.002540000016,0.7429999709
-0.3302,0.002790000057,0.7549999952
-0.3302,0.003049999941,0.7689999938
-0.3302,0.003559999866,0.7870000005
-0.3302,0.004059999716,0.8029999733
-0.3302,0.004570000339,0.8199999928
-0.3302,0.005080000032,0.8349999785
-0.3302,0.005840000231,0.8550000191
-0.3302,0.006599999964,0.8759999871
-0.3302,0.007369999774,0.8960000277
-0.3302,0.008640000597,0.9250000119
-0.3302,0.01040999964,0.9589999914
-0.3302,0.01294999942,0.9909999967
-0.3302,0.01549000014,1.003000021
-0.3302,0.01803000085,1.004999995
-0.3302,0.02056999877,1.004999995
-0.3302,0.02311000042,1.004999995
-0.3302,0.0256500002,1.003999949
-0.3302,0.02818999998,1.003000021
-0.3302,0.03072999977,1.003999949
-0.3302,0.03327000141,1.004999995
-0.3302,0.03581000119,1.008000016
-0.3302,0.03834999725,1.006999969
-0.3302,0.04089000076,1.008999944
-0.3302,0.04597000033,1.013000011
-0.3302,0.05104999989,1.013000011
-0.3302,0.05612999946,1.014999986
-0.3302,0.06120999902,1.019000053
-0.3302,0.06628999859,1.01699996
-0.2286,0.0,0.0
-0.2286,0.0004100000078,0.4830000103
-0.2286,0.0005299999611,0.5130000114
-0.2286,0.0006600000197,0.5329999924
-0.2286,0.0007900000201,0.5469999909
-0.2286,0.0009100000025,0.5619999766
-0.2286,0.001169999945,0.5849999785
-0.2286,0.001419999986,0.6050000191
-0.2286,0.001679999987,0.6240000129
-0.2286,0.001929999911,0.6409999728
-0.2286,0.002180000069,0.6529999971
-0.2286,0.002439999953,0.6700000167
-0.2286,0.002689999994,0.6779999733
-0.2286,0.002950000111,0.6899999976
-0.2286,0.00344999996,0.7110000253
-0.2286,0.003959999885,0.7269999981
-0.2286,0.004469999578,0.7440000176
-0.2286,0.004980000202,0.7590000033
-0.2286,0.005739999935,0.7810000181
-0.2286,0.006500000134,0.7990000248
-0.2286,0.007260000333,0.8199999928
