x,cf
-0.3432,0.00329
-0.1524,0.00153
-0.0508,0.00044
-0.0125,0.00026
0.0125,0.00011
0.1016,-8e-05
0.1524,-0.00017
0.254,0.00012
0.2794,0.000114
0.3556,0.00036
