#
#Skin-Friction Measurements with Laser Oil-Flow Interferometer
#       CASE C.S0
# ---------------------------------
# X(mm)  X(in)     Cfx         Cfz
-343.2	-13.5	0.00329        0
-152.4	-6.0	0.00153	       0
 -50.8	-2.0	0.00044	       0
 -12.5  -0.5    0.00026	       0
  12.5   0.5    0.00011	       0
 101.6	 4.0	-.00008	       0
 152.4	 6.0	-.00017	       0
 254.0	10.0	0.00012	       0
 279.4	11.0	0.000114       0
 355.6	14.0	0.00036	       0
