#
#            Case D.S0       Station=  2
#            X= -152.4 mm      Tunnel Run#= 791   Ue/Uref=   1.001      Date= 621.88  Time=13.22
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ur^2 ----->|  |<-------------- normalized by 0.0001 Ur^3 -------------->|
#LR  Y(mm)  U/Ur   V/Ur   W/Ur    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -1.55   0.00   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1  0.25  0.480  0.002  0.001  13.56   0.97   5.21  -1.45  -0.09  -0.42  -2.82  0.00  1.04  0.62  0.03  0.14  0.01 -0.01 -0.95 -0.01
 2  0.63  0.598  0.001  0.001   8.43   1.97   4.77  -1.54  -0.05   0.07  -1.26 -0.18  0.11  0.59  0.21  0.16 -0.06 -0.06 -0.11  0.05
 3  1.27  0.658  0.002  0.002   6.98   2.12   4.32  -1.47  -0.05   0.04   0.00 -0.16  0.25  0.29  0.17  0.20 -0.18  0.00 -0.62  0.03
 4  2.54  0.731  0.002  0.001   5.96   2.16   3.67  -1.48  -0.05   0.06  -0.64 -0.12  0.04  0.25  0.18  0.17  0.02 -0.01 -0.28 -0.03
 5  6.35  0.846  0.003  0.004   4.03   1.74   2.65  -1.11   0.01   0.03  -0.82 -0.20 -0.04  0.28  0.19  0.15 -0.04  0.00 -0.14 -0.01
 6 10.16  0.929  0.004  0.005   2.35   1.10   1.49  -0.66  -0.04   0.08  -0.82 -0.24 -0.16  0.28  0.24  0.10  0.03  0.00 -0.02  0.00
 7 15.24  0.990  0.004  0.007   0.32   0.28   0.34  -0.07   0.00   0.01  -0.09 -0.03  0.01  0.04  0.04  0.02  0.02  0.00  0.03  0.00
 8 20.32  1.002  0.004  0.005   0.07   0.10   0.15   0.00   0.00   0.00   0.01  0.00  0.01  0.00  0.00  0.00  0.01  0.00  0.02  0.00
 9 25.40  1.003  0.005  0.005   0.09   0.08   0.17   0.00   0.00   0.02   0.01  0.00  0.03  0.00  0.00  0.00  0.02  0.00  0.05  0.00
10 30.48  1.003  0.006  0.005   0.07   0.08   0.18   0.00   0.00   0.00   0.01  0.00  0.03  0.00  0.00  0.00  0.01  0.00  0.04  0.00
11 35.56  1.004  0.005  0.007   0.07   0.08   0.19   0.00   0.00   0.00   0.01  0.00  0.03  0.00  0.00  0.00  0.01  0.00  0.04  0.00
12 40.64  1.006  0.005  0.006   0.08   0.11   0.19   0.00   0.00   0.01   0.01  0.00  0.03  0.00  0.09  0.00  0.01  0.00  0.05  0.00
13 45.72  1.007  0.005  0.005   0.09   0.09   0.21   0.00   0.00   0.01   0.01  0.00  0.04  0.00  0.00  0.00  0.02  0.00  0.06  0.00
14 50.80  1.004  0.005  0.005   0.09   0.08   0.19   0.00   0.00   0.01   0.01  0.00  0.03  0.00  0.00  0.00  0.02  0.00  0.05  0.00
15 55.88  1.009  0.010  0.001   0.09   0.44   0.21   0.00   0.00   0.01   0.01  0.00  0.03  0.00 -0.02  0.00  0.02  0.00  0.06  0.00
16 60.96  1.017  0.000 -0.004   0.11   0.00   0.26   0.00   0.00   0.01   0.02  0.00  0.05  0.00  0.00  0.00  0.02  0.00  0.05  0.00
17 66.04  1.013  0.000 -0.009   0.19   0.00   0.50   0.00   0.00   0.07   0.01  0.00  0.01  0.00  0.00  0.00  0.01  0.00  0.01  0.00
