#
#            Case D.S0       Station=  1
#            X= -457.2 mm      Tunnel Run#= 797   Ue/Uref=   1.000      Date= 718.88  Time=16.48
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ur^2 ----->|  |<-------------- normalized by 0.0001 Ur^3 -------------->|
#LR  Y(mm)  U/Ur   V/Ur   W/Ur    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -1.62   0.00   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1  0.63  0.612  0.008  0.002   8.39   2.31   4.91  -1.75  -0.11   0.09  -1.28 -0.27  0.20  0.67  0.67  0.11 -0.22 -0.02 -0.34  0.02
 2  1.27  0.678  0.007  0.002   6.63   2.44   4.32  -1.66  -0.03   0.04  -0.16 -0.16  0.38  0.24  0.42  0.11  0.02  0.02 -0.43 -0.05
 3  2.54  0.750  0.007  0.002   5.63   2.33   3.74  -1.53  -0.05   0.01  -0.36 -0.12  0.14  0.22  0.28  0.16  0.05 -0.05 -0.22 -0.02
 4  6.35  0.889  0.004  0.004   3.41   1.72   2.24  -1.04   0.00   0.04  -0.96 -0.32 -0.23  0.42  0.99  0.14 -0.01  0.04  0.09  0.02
 5 10.16  0.981  0.000  0.004   0.78   0.69   0.66  -0.23   0.01   0.04  -0.35 -0.13 -0.02  0.16  0.70  0.05  0.04  0.00  0.15  0.00
 6 15.24  0.996 -0.001  0.006   0.11   0.14   0.26   0.00   0.00   0.03   0.02  0.00  0.07  0.00  0.07  0.00  0.04  0.00  0.11  0.00
 7 20.32  0.995 -0.003  0.003   0.09   0.13   0.25   0.00   0.00   0.03   0.02  0.00  0.07  0.00  0.09  0.00  0.04  0.00  0.12  0.00
 8 25.40  1.000 -0.002  0.003   0.10   0.14   0.21   0.00   0.00   0.01   0.01  0.00  0.04  0.00  0.18  0.00  0.02  0.00  0.08  0.00
 9 30.48  0.998 -0.005  0.004   0.10   0.14   0.26   0.00   0.00   0.02   0.02  0.00  0.07  0.00  0.18  0.00  0.03  0.00  0.09  0.00
10 35.56  0.999 -0.006  0.006   0.08   0.11   0.23   0.00   0.00   0.00   0.02  0.00  0.06  0.00  0.08  0.00  0.02  0.00  0.06  0.00
11 40.64  1.001 -0.006  0.003   0.09   0.12   0.25   0.00   0.00  -0.01   0.02  0.00  0.06  0.00  0.08  0.00  0.02  0.00  0.06  0.00
12 45.72  0.996 -0.001  0.001   0.12   0.11   0.26   0.00   0.00   0.00   0.02  0.00  0.06  0.00  0.01  0.00  0.02  0.00  0.06  0.00
13 50.80  0.999  0.001  0.002   0.11   0.12   0.32   0.00   0.00   0.01   0.03  0.00  0.10  0.00  0.08  0.00  0.03  0.00  0.09  0.00
14 55.88  1.001  0.002 -0.001   0.13   0.10   0.32   0.00   0.00  -0.01   0.03  0.00  0.10  0.00  0.00  0.00  0.02  0.00  0.05  0.00
15 60.96  0.999 -0.006 -0.002   0.20   0.00   0.33   0.00   0.00   0.03   0.03  0.00  0.09  0.00  0.00  0.00  0.03  0.00  0.11  0.00
16 66.04  0.999 -0.006 -0.001   0.11   0.00   0.35   0.00   0.00   0.02   0.03  0.00  0.08  0.00  0.00  0.00  0.03  0.00  0.08  0.00
