##
##    SURFACE PRESSURE DISTRIBUTIONS
##              CASE C.S1
##              ---------
##     X(mm)       Cp
   -914.400     0.002
   -762.000     0.000
   -609.600    -0.002
   -457.200     0.000
      3.175     0.460
      6.350     0.463
     12.700     0.467
     19.050     0.481
     25.400     0.481
     38.100     0.488
     50.800     0.500
     76.200     0.512
    101.600     0.523
    127.000     0.540
    152.400     0.549
    177.800     0.551
    203.200     0.565
    228.600     0.568
    254.000     0.577
    304.800     0.596
    381.000     0.605
    457.200     0.596
    533.400     0.572
    609.600     0.502
    609.854     0.498
    660.400     0.437
    711.200     0.355
    762.000     0.292
    812.800     0.285
