#
#            Case C.S1       Station=  3
#            X= -228.6 mm      Tunnel Run#= 683   Ue/Uref=   0.991      Date= 509.88  Time=19.42
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ur^2 ----->|  |<-------------- normalized by 0.0001 Ur^3 -------------->|
#LR  Y(mm)  U/Ur   V/Ur   W/Ur    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  1.000   0.00   0.00   0.00  -2.02   2.64   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 2  0.25  0.541 -0.024  0.354  15.21   3.14  19.20  -1.83   1.36  -7.17  -1.14 -0.32 -5.35  0.73  0.05  1.61  3.26  0.31  7.75 -0.74
 3  0.38  0.572 -0.023  0.324  13.66   3.72  16.35  -1.61   1.27  -5.15  -1.15 -0.61 -2.70  0.91  0.50  1.25  2.05  0.44  3.54 -0.38
 4  0.51  0.590 -0.021  0.304  13.51   3.89  15.94  -1.78   1.46  -4.77  -1.73 -0.56 -2.59  0.96  0.54  1.37  2.01  0.55  4.32 -0.44
 5  0.63  0.611 -0.019  0.283  12.95   4.10  15.00  -1.95   1.58  -4.64  -0.34 -0.56 -2.19  0.87  0.69  0.88  1.43  0.48  3.57 -0.35
 6  0.76  0.625 -0.019  0.271  12.86   4.06  14.67  -2.08   1.75  -4.52  -1.13 -0.52 -2.36  0.88  0.71  1.26  1.66  0.57  3.03 -0.41
 7  1.02  0.645 -0.018  0.249  12.21   4.14  14.17  -2.01   1.92  -4.50  -0.97 -0.84 -1.90  1.17  0.94  1.51  1.24  0.93  3.04 -0.67
 8  1.27  0.666 -0.017  0.230  11.71   4.18  13.36  -2.12   1.96  -4.57  -1.38 -0.57 -1.89  1.11  0.82  1.40  1.87  0.79  3.10 -0.57
 9  1.52  0.678 -0.014  0.219  11.90   4.36  12.91  -2.31   2.04  -4.54  -1.87 -0.80 -2.15  1.29  0.77  1.52  1.90  0.80  4.10 -0.67
10  1.78  0.692 -0.013  0.204  11.61   4.28  12.24  -2.32   2.08  -4.71  -2.05 -0.99 -2.18  1.34  0.88  1.59  1.85  0.90  3.82 -0.78
11  2.03  0.698 -0.011  0.194  11.22   4.25  12.27  -2.34   2.02  -4.75  -1.56 -0.91 -2.23  1.05  1.00  1.49  1.68  0.88  3.71 -0.58
