##
##Surface Skin-Friction Direction from Oil-Flow Visualization
##      CASE A.S1/2
## ---------------------
## X(mm)  X(in)   B(deg)
  13.5   0.53   15.0
  36.8   1.45   11.0
 129.5   5.1     6.5
 247.7   9.75    4.7
 355.6  14.0     4.5
 457.2  18.0     4.8
 508.0  20.0     3.8
  11.4   0.45   17.0
  31.7   1.25   11.0
  76.2   3.0    10.0
 139.7   5.5     7.0
 285.8  11.25    4.9
 482.6  19.0     3.3
 565.2  22.25    3.6
