#
#Skin-Friction Measurements with Laser Oil-Flow Interferometer
#       CASE D.S1
# ---------------------------------
#  X(mm)  X(in)     Cfx        Cfz
   6.4   0.25	0.00248      0.00156
  12.5   0.5	0.00277      0.00129
  25.4	 1.0	0.00246      0.00112
  50.8	 2.0	0.00188      0.00075
 114.3	 4.5	0.00114      0.00041
 152.4	 6.0	0.00125      0.00042
 221.0	 8.7	0.000575     0.00021
 304.8	12.0	0.000595     0.00023
