# 3D Unsteady Flow: approximation to Ekman layer
# (P.R. Spalart, J.Fluid Mech. 205, 319)
# Free-stream velocity components are U,inf = U,0 cos(ft)
# and W,inf = U,0 sin(ft). U and W (and all six
# Reynolds stresses) are non-zero, but are functions of y and t only,
# not of x and z (so V = 0 by continuity). A program capable of computing
# steady flow over infinite swept wings (z coordinate along generators
# and d[ ]/dz=0) could be adapted: Ud[ ]/x becomes d[ ]/dt; Vd[ ]/dy
# and Wd[ ]/dz are zero - for different reasons - and the program can be
# stepped in time instead of marching in x.
# 
# Notation is explained in the JFM paper, especially para. 3.1:
# the defining Reynolds number, Rl, is U,0 [2/(f*nu)]^(1/2)
# where f is in rad/sec not Hz: it is independent of time.
# The length scale,delta = (Utau)/f, is quite close to the
# physical thickness: y- = y/delta. Rt = (Utau)*(delta)/nu. Phi0 (phi* in
# the JFM paper, eq. 18) is related to the direction of the surface shear
# stress, alpha = lim tan^1 (W/U) by eq. 18: it is not relevant to the
# computations.
# 
#  Rl            Utau     Phi0      Rt 
#  766.51428   0.05580   0.30867 914.74451
# 
# 
# === Part 1 ===
#   FIG 5 AND 7:
#      y-          U/Uref      W/Uref      yplus       U+          W+
  0.4038e-01  0.7536e+00  0.1999e+00  0.3694e+02  0.1396e+02 -0.6902e+00
  0.4460e-01  0.7695e+00  0.1988e+00  0.4080e+02  0.1422e+02 -0.7959e+00
  0.4904e-01  0.7843e+00  0.1970e+00  0.4486e+02  0.1446e+02 -0.9064e+00
  0.5372e-01  0.7982e+00  0.1948e+00  0.4914e+02  0.1469e+02 -0.1020e+01
  0.5863e-01  0.8111e+00  0.1923e+00  0.5363e+02  0.1490e+02 -0.1133e+01
  0.6379e-01  0.8235e+00  0.1895e+00  0.5835e+02  0.1509e+02 -0.1247e+01
  0.6920e-01  0.8354e+00  0.1867e+00  0.6330e+02  0.1528e+02 -0.1360e+01
  0.7486e-01  0.8468e+00  0.1839e+00  0.6847e+02  0.1546e+02 -0.1470e+01
  0.8077e-01  0.8580e+00  0.1812e+00  0.7389e+02  0.1564e+02 -0.1577e+01
  0.8696e-01  0.8689e+00  0.1787e+00  0.7954e+02  0.1581e+02 -0.1680e+01
  0.9341e-01  0.8794e+00  0.1762e+00  0.8545e+02  0.1597e+02 -0.1779e+01
  0.1001e+00  0.8897e+00  0.1738e+00  0.9161e+02  0.1614e+02 -0.1877e+01
  0.1072e+00  0.8998e+00  0.1711e+00  0.9803e+02  0.1629e+02 -0.1977e+01
  0.1145e+00  0.9093e+00  0.1682e+00  0.1047e+03  0.1644e+02 -0.2078e+01
  0.1221e+00  0.9184e+00  0.1650e+00  0.1117e+03  0.1658e+02 -0.2182e+01
  0.1300e+00  0.9270e+00  0.1617e+00  0.1190e+03  0.1671e+02 -0.2286e+01
