 Filename:   3DC_PST_01.DAT      

 3D converging nozzle (3Dc)
 Static pressure 
 Wall pressure taps

 Dinamic pressure                1000.18 Pa
 Acquisition time                   3.00 s
 Acquisition frequency            10000. Hz
 Number of samples                 30000
 Barometric pressure               971.8 mbar
 Air temperature (start)            28.5 C   
 Re 1m /10.E6                     2.5491
 Air density (start)              1.1182 kg/m**3 
 Air kin. viscosity (start)  0.16592E-04 m**2/s

 Date             3-MAY-90
 Time            10:33:59

  x [mm]    z [mm]    Pstat[Pa]  
   325.000   -50.000   60.8202
   325.000     0.000   60.5206
   325.000    50.000   63.1639
   325.000   100.000   68.0397
   325.000   150.000   74.6881
   325.000   200.000   85.3043
   325.000   250.000   98.1030
   325.000   300.000  114.0241
   325.000   350.000  131.0949

   350.000  -350.000  133.9794
   350.000  -300.000  115.6303
   350.000  -250.000   99.6708
   350.000  -200.000   84.8909
   350.000  -150.000   72.2352
   350.000  -100.000   64.9692
   350.000   -50.000   59.7713
   350.000     0.000   59.6036
   350.000    50.000   61.1179
   350.000   100.000   67.2607
   350.000   150.000   74.2058
   350.000   200.000   87.0682
   350.000   250.000  100.8561
   350.000   300.000  118.1655
   350.000   350.000  136.2731

   375.000  -350.000  139.9568
   375.000  -300.000  119.8088
   375.000  -250.000  101.7955
   375.000  -200.000   85.8300
   375.000  -150.000   72.5544
   375.000  -100.000   64.2558
   375.000   -50.000   59.5781
   375.000     0.000   58.5532
   375.000    50.000   61.1873
   375.000   100.000   67.1530
   375.000   150.000   75.3041
   375.000   200.000   88.1549
   375.000   250.000  103.1747
   375.000   300.000  122.3656
   375.000   350.000  144.1143

   400.000  -350.000  147.8515
   400.000  -300.000  125.1268
   400.000  -250.000  105.6070
   400.000  -200.000   88.4330
   400.000  -150.000   73.5631
   400.000  -100.000   65.1987
   400.000   -50.000   59.8442
   400.000     0.000   58.6482
   400.000    50.000   61.4552
   400.000   100.000   67.3848
   400.000   150.000   76.6168
   400.000   200.000   90.1777
   400.000   250.000  106.8914
   400.000   300.000  127.3202
   400.000   350.000  151.1159

   425.000  -350.000  153.0499
   425.000  -300.000  129.0793
   425.000  -250.000  107.9706
   425.000  -200.000   90.0155
   425.000  -150.000   74.8249
   425.000  -100.000   64.8560
   425.000   -50.000   59.2576
   425.000     0.000   58.4741
   425.000    50.000   61.4088
   425.000   100.000   67.4814
   425.000   150.000   77.2029
   425.000   200.000   91.9615
   425.000   250.000  109.4903
   425.000   300.000  132.1420
   425.000   350.000  157.7623

   450.000  -350.000  159.1157
   450.000  -300.000  133.3570
   450.000  -250.000  110.7438
   450.000  -200.000   91.7427
   450.000  -150.000   75.5896
   450.000  -100.000   66.2083
   450.000   -50.000   59.4950
   450.000     0.000   58.3528
   450.000    50.000   60.6774
   450.000   100.000   67.9059
   450.000   150.000   77.7239
   450.000   200.000   93.2185
   450.000   250.000  112.3194
   450.000   300.000  136.2264
   450.000   350.000  163.0769

   475.000  -350.000  163.9888
   475.000  -300.000  137.3964
   475.000  -250.000  113.4079
   475.000  -200.000   92.6223
   475.000  -150.000   75.8907
   475.000  -100.000   65.2869
   475.000   -50.000   59.0079
   475.000     0.000   57.7477
   475.000    50.000   60.1705
   475.000   100.000   67.2776
   475.000   150.000   77.7216
   475.000   200.000   93.7917
   475.000   250.000  113.7900
   475.000   300.000  138.6464
   475.000   350.000  167.4615

   500.000  -350.000  168.7262
   500.000  -300.000  140.9761
   500.000  -250.000  115.5659
   500.000  -200.000   94.4329
