 Filename:   3DC_PST_01.DAT      

 3D converging nozzle (3Dc)
 Static pressure 
 Wall pressure taps

 Dinamic pressure                1000.18 Pa
 Acquisition time                   3.00 s
 Acquisition frequency            10000. Hz
 Number of samples                 30000
 Barometric pressure               971.8 mbar
 Air temperature (start)            28.5 C   
 Re 1m /10.E6                     2.5491
 Air density (start)              1.1182 kg/m**3 
 Air kin. viscosity (start)  0.16592E-04 m**2/s

 Date             3-MAY-90
 Time            10:33:59

  x [mm]    z [mm]    Pstat[Pa]  
  1750.000  -150.000   -9.3391
  1750.000  -100.000   -1.4279
  1750.000   -50.000    2.5522
  1750.000     0.000    5.0313
  1750.000    50.000    4.5136
  1750.000   100.000    1.6113
  1750.000   150.000   -3.6021
  1750.000   200.000   -7.1165

  1775.000  -200.000  -15.4328
  1775.000  -150.000   -8.4472
  1775.000  -100.000   -0.8741
  1775.000   -50.000    2.6140
  1775.000     0.000    4.5787
  1775.000    50.000    4.3796
  1775.000   100.000    2.1570
  1775.000   150.000   -1.9914
  1775.000   200.000   -2.9466

  1800.000  -200.000  -13.7845
  1800.000  -150.000   -8.3592
  1800.000  -100.000   -1.8817
  1800.000   -50.000    2.2694
  1800.000     0.000    4.8347
  1800.000    50.000    4.6940
  1800.000   100.000    2.6363
  1800.000   150.000   -0.4424
  1800.000   200.000   -1.8508

  1825.000  -200.000   -9.9223
  1825.000  -150.000   -6.8987
  1825.000  -100.000   -0.9508
  1825.000   -50.000    2.7189
  1825.000     0.000    4.9618
  1825.000    50.000    4.9546
  1825.000   100.000    2.7915
  1825.000   150.000    0.3026
  1825.000   200.000    0.5138

  1850.000  -200.000   -5.6299
  1850.000  -150.000   -5.1403
  1850.000  -100.000   -0.1023
  1850.000   -50.000    2.9413
  1850.000     0.000    4.7830
  1850.000    50.000    5.2087
  1850.000   100.000    3.7752
  1850.000   150.000    1.2133
  1850.000   200.000   -0.4941

  1875.000  -200.000   -3.7330
  1875.000  -150.000   -4.0230
  1875.000  -100.000   -0.2619
  1875.000   -50.000    2.6013
  1875.000     0.000    5.0496
  1875.000    50.000    5.3166
  1875.000   100.000    4.5402
  1875.000   150.000    1.6471
  1875.000   200.000   -2.7065

  1900.000  -200.000   -1.7698
  1900.000  -150.000   -2.7191
  1900.000  -100.000    0.6367
  1900.000   -50.000    3.6945
  1900.000     0.000    5.0371
  1900.000    50.000    5.2811
  1900.000   100.000    4.3042
  1900.000   150.000    2.0104
  1900.000   200.000    0.7867

  1925.000  -200.000   -0.4046
  1925.000  -150.000   -1.6719
  1925.000  -100.000    0.8650
  1925.000   -50.000    3.3273
  1925.000     0.000    5.0557
  1925.000    50.000    5.1539
  1925.000   100.000    4.9815
  1925.000   150.000    2.9958
  1925.000   200.000    4.3281

  1950.000  -200.000   -2.8164
  1950.000  -150.000   -2.3508
  1950.000  -100.000    0.9059
  1950.000   -50.000    3.5676
  1950.000     0.000    5.0465
  1950.000    50.000    4.9747
  1950.000   100.000    5.0606
  1950.000   150.000    4.3006
  1950.000   200.000    6.0628

  1975.000  -200.000   -2.7548
  1975.000  -150.000   -1.0689
  1975.000  -100.000    1.8474
  1975.000   -50.000    3.7552
  1975.000     0.000    4.2174
  1975.000    50.000    5.2026
  1975.000   100.000    4.4117
  1975.000   150.000    3.8832
  1975.000   200.000    6.0869

  2000.000  -200.000   -4.2390
  2000.000  -150.000   -2.2271
  2000.000  -100.000    0.2165
  2000.000   -50.000    1.3910
  2000.000     0.000    2.9846
  2000.000    50.000    3.2596
  2000.000   100.000    3.0364
  2000.000   150.000    2.8044
  2000.000   200.000    5.1261

  2025.000  -200.000    0.0728
  2025.000  -150.000   -0.6708
  2025.000  -100.000    0.8846
  2025.000   -50.000    1.4039
  2025.000     0.000    2.0643
  2025.000    50.000    2.0421
  2025.000   100.000    1.5571
  2025.000   150.000    1.3233
  2025.000   200.000    3.9191

  2050.000  -200.000    6.2506
  2050.000  -150.000    1.1567
  2050.000  -100.000    0.9806
  2050.000   -50.000    1.7818
  2050.000     0.000    2.1590
  2050.000    50.000    2.4437
  2050.000   100.000    1.7861
  2050.000   150.000    2.1086
  2050.000   200.000    6.3399

  2075.000  -200.000    8.9565
  2075.000  -150.000    1.8573
  2075.000  -100.000    1.2957
  2075.000   -50.000    2.1474
  2075.000     0.000    2.3310
  2075.000    50.000    2.5445
  2075.000   100.000    1.8811
  2075.000   150.000    1.4170
  2075.000   200.000    5.5524

  2100.000  -200.000    7.7522
  2100.000  -150.000    1.4304
  2100.000  -100.000    0.8589
  2100.000   -50.000    1.2402
  2100.000     0.000    1.4065
  2100.000    50.000    0.7398
  2100.000   100.000    0.8147
  2100.000   150.000   -0.0761
  2100.000   200.000    1.5567

  2125.000  -200.000    4.5460
  2125.000  -150.000    0.8937
  2125.000  -100.000    0.4737
  2125.000   -50.000    1.4310
  2125.000     0.000    1.2862
  2125.000    50.000    1.2085
  2125.000   100.000    0.6953
  2125.000   150.000   -0.3525
  2125.000   200.000   -1.5422

  2150.000  -200.000    1.7800
  2150.000  -150.000   -0.0516
  2150.000  -100.000   -0.1607
  2150.000   -50.000    0.8121
  2150.000     0.000    0.6190
  2150.000    50.000    0.6484
  2150.000   100.000   -0.1128
  2150.000   150.000   -0.7528
  2150.000   200.000   -0.2246

  2175.000  -200.000    0.5918
  2175.000  -150.000   -1.3440
  2175.000  -100.000   -0.2545
  2175.000   -50.000    0.7610
  2175.000     0.000    0.5864
  2175.000    50.000    0.1559
  2175.000   100.000   -0.2382
  2175.000   150.000   -1.2911
  2175.000   200.000   -0.0284

  2200.000  -200.000   -0.9966
  2200.000  -150.000   -2.7736
  2200.000  -100.000   -1.6743
  2200.000   -50.000   -1.5008
  2200.000     0.000   -0.8340
  2200.000    50.000   -0.5578
  2200.000   100.000   -1.2536
  2200.000   150.000   -2.8661
  2200.000   200.000   -0.8184

  2225.000  -200.000   -1.3657
  2225.000  -150.000   -3.5563
  2225.000  -100.000   -2.1079
  2225.000   -50.000   -1.2257
  2225.000     0.000   -0.5161
  2225.000    50.000   -0.8201
  2225.000   100.000   -1.8098
  2225.000   150.000   -3.9307
  2225.000   200.000   -0.2540

  2250.000  -200.000   -1.7749
  2250.000  -150.000   -3.6902
  2250.000  -100.000   -2.7382
  2250.000   -50.000   -1.6250
  2250.000     0.000   -1.5375
  2250.000    50.000   -2.1755
  2250.000   100.000   -2.6716
  2250.000   150.000   -4.1124
  2250.000   200.000   -1.1003

  2275.000  -200.000   -1.7893
  2275.000  -150.000   -4.7187
  2275.000  -100.000   -3.2866
  2275.000   -50.000   -2.0878
  2275.000     0.000   -1.7317
  2275.000    50.000   -1.8153
  2275.000   100.000   -2.9515
  2275.000   150.000   -4.5825
  2275.000   200.000   -4.2521

  2300.000  -200.000   -0.6131
  2300.000  -150.000   -4.3944
  2300.000  -100.000   -4.0537
  2300.000   -50.000   -2.4906
  2300.000     0.000   -2.6254
  2300.000    50.000   -2.3201
  2300.000   100.000   -3.2876
  2300.000   150.000   -4.6533
  2300.000   200.000   -3.7471

  2325.000  -200.000   -0.3745
  2325.000  -150.000   -4.4690
  2325.000  -100.000   -3.7309
  2325.000   -50.000   -2.9823
  2325.000     0.000   -2.4170
  2325.000    50.000   -3.1469
  2325.000   100.000   -3.6497
  2325.000   150.000   -5.4755
  2325.000   200.000   -3.1654

  2350.000  -200.000   -0.4973
  2350.000  -150.000   -5.1731
  2350.000  -100.000   -4.3101
  2350.000   -50.000   -3.4984
  2350.000     0.000   -2.6978
  2350.000    50.000   -2.4275
  2350.000   100.000   -3.0356
  2350.000   150.000   -4.9099
  2350.000   200.000   -1.4232

  2375.000  -200.000   -1.5524
  2375.000  -150.000   -4.6463
  2375.000  -100.000   -3.2625
  2375.000   -50.000   -2.8481
  2375.000     0.000   -2.2826
  2375.000    50.000   -2.8588
  2375.000   100.000   -3.7482
  2375.000   150.000   -5.2591
  2375.000   200.000   -1.7891

  2400.000  -200.000   -0.3638
  2400.000  -150.000   -5.2159
  2400.000  -100.000   -3.7652
  2400.000   -50.000   -2.4956
  2400.000     0.000   -1.9621
  2400.000    50.000   -1.7894
  2400.000   100.000   -2.9568
  2400.000   150.000   -4.4992
  2400.000   200.000   -1.7011

  2425.000  -200.000   -2.1604
  2425.000  -150.000   -5.5310
  2425.000  -100.000   -3.6979
  2425.000   -50.000   -2.1265
  2425.000     0.000   -1.0363
  2425.000    50.000   -1.2703
  2425.000   100.000   -2.4161
  2425.000   150.000   -3.6393
  2425.000   200.000   -2.0700

  2450.000  -200.000  -10.5067
  2450.000  -150.000   -4.7730
  2450.000  -100.000   -2.7206
  2450.000   -50.000   -1.5142
  2450.000     0.000   -0.5206
  2450.000    50.000   -0.2441
  2450.000   100.000   -1.6017
  2450.000   150.000   -2.8242
  2450.000   200.000   -4.5595

  2475.000  -200.000   -8.8723
  2475.000  -150.000   -3.5731
  2475.000  -100.000   -2.3575
  2475.000   -50.000   -1.2706
  2475.000     0.000   -0.3940
  2475.000    50.000   -0.3174
  2475.000   100.000   -0.7278
  2475.000   150.000   -1.4974
  2475.000   200.000   -1.8144

  2500.000  -200.000   -3.5820
  2500.000  -150.000   -1.9658
  2500.000  -100.000   -1.2217
  2500.000   -50.000   -0.5209
  2500.000     0.000    0.4913
  2500.000    50.000    1.2066
  2500.000   100.000    0.7492
  2500.000   150.000    1.3199
  2500.000   200.000    1.2345

