# Driver and Seegmiller backstep auxiliary data.
# Contents (tables 1-3 for alpha=0 and 6 deg.):

# Table 4a.  PITOT VELOCITY PROFILES FOR REARWARD FACING STEP WITH 9:1   EXPANSION RATIO
#
#   WALL DEFLECTION =  0.0000000E+00      X/H=  -4.000000    
#                     Step side wall                                     Opposite Wall
#        ________________________________________________         _____________________________
#        Centerline Z=0      Z/H = -2         Z/H = +2            Centerline Z=0     Z/H = -2
#        -------------     ------------     ------------          ------------     ------------
#  J     Y(mm)   U/Ue     Y(mm)   U/Ue     Y(mm)   U/Ue          Y(mm)   U/Ue     Y(mm)   U/Ue
#  J     Y(mm)   U/Ue     Y(mm)   U/Ue     Y(mm)   U/Ue          Y(mm)   U/Ue     Y(mm)   U/Ue
   1      0.20  0.450      0.15  0.374      0.16  0.386           0.15  0.375      0.22  0.468
   2      0.27  0.496      0.25  0.473      0.22  0.443           0.25  0.465      0.35  0.539
   3      0.37  0.539      0.55  0.571      0.52  0.578           0.55  0.558      0.65  0.604
   4      0.62  0.587      1.15  0.640      0.92  0.626           1.15  0.624      1.15  0.649
   5      1.12  0.634      2.05  0.692      1.67  0.678           2.35  0.708      2.35  0.717
   6      1.92  0.686      4.05  0.767      3.67  0.764           4.35  0.781      4.35  0.798
   7      3.92  0.764      7.05  0.846      6.67  0.844           7.35  0.871      7.35  0.885
   8      6.92  0.843     11.05  0.923     10.67  0.922          11.35  0.958     11.35  0.966
   9     10.92  0.921     14.05  0.966     13.67  0.965          14.35  0.992     14.35  0.995
  10     13.92  0.963     17.05  0.989     16.67  0.991          16.35  0.999     16.35  1.000
  11     15.92  0.981     19.05  0.998     18.67  0.997          23.35  1.000     23.35  1.000
  12     17.92  0.993     24.05  0.999     23.67  1.000          48.35  1.000     48.35  1.000
  13     18.92  0.996     48.55  1.000     48.17  1.000           0.00  0.000      0.00  0.000
  14     23.92  0.999      0.00  0.000      0.00  0.000           0.00  0.000      0.00  0.000
  15     48.42  1.000      0.00  0.000      0.00  0.000           0.00  0.000      0.00  0.000
  16      0.00  0.000      0.00  0.000      0.00  0.000           0.00  0.000      0.00  0.000
  17      0.00  0.000      0.00  0.000      0.00  0.000           0.00  0.000      0.00  0.000
  18      0.00  0.000      0.00  0.000      0.00  0.000           0.00  0.000      0.00  0.000
  19      0.00  0.000      0.00  0.000      0.00  0.000           0.00  0.000      0.00  0.000
  20      0.00  0.000      0.00  0.000      0.00  0.000           0.00  0.000      0.00  0.000
  21      0.00  0.000      0.00  0.000      0.00  0.000           0.00  0.000      0.00  0.000
  22      0.00  0.000      0.00  0.000      0.00  0.000           0.00  0.000      0.00  0.000
  23      0.00  0.000      0.00  0.000      0.00  0.000           0.00  0.000      0.00  0.000
  24      0.00  0.000      0.00  0.000      0.00  0.000           0.00  0.000      0.00  0.000
  25      0.00  0.000      0.00  0.000      0.00  0.000           0.00  0.000      0.00  0.000

#  J     O(mm) Ue(m/s)    O(mm) Ue(m/s)    O(mm) Ue(m/s)        O(mm) Ue(m/s)   O(mm) Ue(m/s)
  40      1.93 43.598      1.94 43.795      1.86 43.821           1.70 44.159      2.21 43.823

 
# Table 4.d  PITOT VELOCITY PROFILES FOR REARWARD FACING STEP WITH 9:1   EXPANSION RATIO
# 
#   WALL DEFLECTION =   6.000000          X/H=   36.00000    
#                     Step side wall                                     Opposite Wall
#        ________________________________________________         _____________________________
#        Centerline Z=0      Z/H = -2         Z/H = +2            Centerline Z=0     Z/H = -2
#        -------------     ------------     ------------          ------------     ------------
#  J     Y(mm)   U/Ue     Y(mm)   U/Ue     Y(mm)   U/Ue          Y(mm)   U/Ue     Y(mm)   U/Ue
   1      0.18  0.246      0.15  0.215      0.16  0.223           0.15  0.129      0.18  0.149
   2      0.28  0.278      0.35  0.293      0.38  0.304           0.25  0.168      0.28  0.214
   3      0.43  0.318      0.85  0.378      0.78  0.381           0.50  0.215      0.53  0.244
   4      0.93  0.374      2.10  0.429      1.38  0.416           1.00  0.276      1.03  0.271
   5      1.68  0.410      4.10  0.466      3.38  0.465           2.00  0.310      2.90  0.314
   6      3.68  0.458      9.10  0.529      8.38  0.526           3.50  0.340      5.90  0.374
   7      5.68  0.482     19.10  0.648     18.38  0.652           5.50  0.375     10.90  0.459
   8      8.68  0.510     29.10  0.792     28.38  0.788           8.00  0.420     15.90  0.592
   9     13.68  0.563     39.10  0.913     38.38  0.910          11.00  0.481     19.90  0.671
  10     18.68  0.628     44.10  0.953     43.38  0.954          15.00  0.570     24.90  0.792
  11     23.68  0.700     48.60  0.977     47.88  0.976          20.00  0.690     28.90  0.878
  12     28.68  0.769     53.99  0.997     53.78  0.993          25.00  0.804     31.90  0.930
  13     33.68  0.832     58.99  0.999     58.78  0.998          29.00  0.883     35.90  0.981
  14     38.68  0.895     73.49  1.000     72.28  1.000          32.00  0.933     39.90  1.000
  15     43.68  0.942      0.00  0.000      0.00  0.000          34.00  0.961     47.90  1.000
  16     48.18  0.969      0.00  0.000      0.00  0.000          36.00  0.981      0.00  0.000
  17     53.32  0.987      0.00  0.000      0.00  0.000          38.00  0.992      0.00  0.000
  18     58.32  0.997      0.00  0.000      0.00  0.000          43.00  0.998      0.00  0.000
  19     63.32  0.999      0.00  0.000      0.00  0.000          50.50  1.000      0.00  0.000
  20     72.82  1.000      0.00  0.000      0.00  0.000           0.00  0.000      0.00  0.000
  21      0.00  0.000      0.00  0.000      0.00  0.000           0.00  0.000      0.00  0.000
  22      0.00  0.000      0.00  0.000      0.00  0.000           0.00  0.000      0.00  0.000
  23      0.00  0.000      0.00  0.000      0.00  0.000           0.00  0.000      0.00  0.000
  24      0.00  0.000      0.00  0.000      0.00  0.000           0.00  0.000      0.00  0.000
  25      0.00  0.000      0.00  0.000      0.00  0.000           0.00  0.000      0.00  0.000

#  J     O(mm) Ue(m/s)    O(mm) Ue(m/s)    O(mm) Ue(m/s)         O(mm) Ue(m/s)    O(mm) Ue(m/s)
  40      8.67 33.432      8.31 33.801      8.22 33.785           6.54 33.678      6.58 33.236
