# Driver and Seegmiller backstep, roof angles 0 and 6 deg.
# AIAA J. vol. 23, pp. 163-171, 1985
  6 15
             TABLE C. 6           CASE R.ST6      Station=  1
             X/H=  -4.0      Tunnel Run#=  12   Ue/Uref=   1.000      Date=1501.81  Time=12.00
             Diverging Wall case, alpha=6 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
           24  3.60  0.938 -0.005  0.47  0.42  0.14   0.04  0.03  0.00  0.01
           25  4.00  0.937 -0.001  0.45  0.39  0.09   0.06  0.03 -0.01 -0.01
           26  5.00  0.937  0.011  0.44  0.37  0.09   0.05  0.03 -0.01 -0.01
           27  6.00  0.936  0.024  0.42  0.36  0.09   0.04  0.03 -0.01  0.00
           28  8.00  0.934  0.048  0.40  0.37  0.12   0.01  0.01  0.01  0.01

  6 27
             TABLE C. 6  (cont.)  CASE R.ST6      Station= 12
             X/H=   7.1      Tunnel Run#=  24   Ue/Uref=   0.935      Date=1501.81  Time=12.00
             Diverging Wall case, alpha=6 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10  0.043 -0.025 17.44 10.44 -3.13   8.30  3.84 -1.69 -3.00
            3  0.15  0.058 -0.028 18.46 11.20 -3.70   7.94  3.49 -2.03 -3.46
            4  0.20  0.081 -0.037 19.58 13.18 -4.65   5.39  2.76 -2.07 -3.21
            5  0.30  0.131 -0.045 23.06 15.78 -6.79   1.18  1.48 -0.57 -2.05
            6  0.40  0.179 -0.053 24.13 17.32 -8.09  -2.08 -1.27  0.93  0.57
            7  0.50  0.235 -0.056 23.38 17.67 -8.42  -6.87 -3.66  3.57  2.65
            8  0.60  0.287 -0.063 23.57 16.90 -8.29 -10.09 -4.21  4.24  3.76
            9  0.70  0.338 -0.063 22.51 16.32 -8.39  -9.02 -6.20  5.52  5.41
           10  0.80  0.392 -0.063 21.10 14.44 -7.63  -9.90 -6.78  6.68  5.84
           11  0.90  0.447 -0.062 20.06 13.77 -7.29 -11.30 -7.32  8.31  6.39
           12  1.00  0.498 -0.056 18.77 11.89 -6.41 -11.84 -7.07  7.78  6.05
           13  1.10  0.554 -0.055 16.47 10.04 -4.96 -11.89 -5.85  6.09  4.59
           14  1.15  0.580 -0.052 15.59  9.34 -4.67 -12.44 -5.86  6.07  4.68
           15  1.20  0.606 -0.050 14.71  8.64 -4.38 -12.99 -5.86  6.05  4.76
           16  1.30  0.655 -0.048 12.23  7.02 -3.42 -10.74 -4.59  4.64  3.56
           17  1.40  0.701 -0.042  9.10  5.28 -2.46  -7.84 -2.93  3.06  2.63
           18  1.50  0.738 -0.041  6.83  4.34 -1.92  -5.23 -2.30  2.37  2.18
           19  1.70  0.798 -0.038  3.84  2.53 -0.92  -1.04 -0.44  0.49  0.64
           20  2.00  0.858 -0.033  2.30  1.49 -0.37  -0.39 -0.12  0.21  0.21
           21  2.40  0.912 -0.027  1.09  0.86 -0.02  -0.13 -0.04  0.07  0.06
           22  2.80  0.931 -0.021  0.68  0.60  0.17   0.05  0.04  0.02  0.02
           23  3.20  0.933 -0.013  0.62  0.54  0.19   0.05  0.02  0.00 -0.01
           24  3.60  0.934 -0.007  0.64  0.55  0.20   0.06  0.04  0.01  0.00
           25  4.00  0.934 -0.004  0.59  0.51  0.18   0.04  0.03  0.01 -0.01
           26  5.00  0.935  0.009  0.54  0.45  0.15   0.04  0.03  0.01  0.00
           27  6.00  0.935  0.022  0.48  0.39  0.13   0.05  0.03  0.02  0.01
           28  8.00  0.938  0.044  0.78  0.65  0.23   0.10  0.08  0.04  0.03

  6 27
             TABLE C. 6  (cont.)  CASE R.ST6      Station= 13
             X/H=   7.6      Tunnel Run#=  25   Ue/Uref=   0.927      Date=1501.81  Time=12.00
             Diverging Wall case, alpha=6 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10  0.100 -0.022 18.65  9.43 -1.89   2.96  1.25 -0.51 -1.75
            3  0.15  0.096 -0.025 17.71 10.80 -3.17   4.86  2.60 -1.45 -2.94
            4  0.20  0.118 -0.028 19.02 12.23 -4.23   2.71  2.43 -1.37 -2.71
            5  0.30  0.163 -0.040 20.83 14.63 -6.19   0.50  0.65 -0.22 -1.62
            6  0.40  0.208 -0.049 21.78 15.88 -7.45  -2.54 -1.17  0.76  0.29
            7  0.50  0.255 -0.056 22.21 16.12 -8.14  -5.01 -3.19  2.61  0.80
            8  0.60  0.300 -0.061 21.97 16.19 -8.24  -6.93 -4.67  3.94  3.38
            9  0.70  0.347 -0.059 21.05 15.36 -7.85  -6.26 -5.07  4.38  4.63
           10  0.80  0.395 -0.058 19.88 14.35 -7.41  -9.06 -6.25  6.04  4.63
           11  0.90  0.445 -0.059 18.75 13.12 -6.63  -9.65 -6.34  6.34  5.27
           12  1.00  0.496 -0.058 17.99 11.58 -6.30 -10.90 -6.47  7.05  5.54
           13  1.10  0.550 -0.053 16.06 10.10 -5.11 -10.34 -5.39  5.52  4.93
           14  1.15  0.574 -0.052 15.47  9.38 -4.82 -11.63 -5.70  6.12  4.73
           15  1.20  0.597 -0.051 14.88  8.66 -4.52 -12.91 -6.02  6.73  4.54
           16  1.30  0.645 -0.046 12.28  6.98 -3.57 -11.73 -4.87  5.07  3.75
           17  1.40  0.692 -0.043  9.35  5.57 -2.65  -9.40 -3.63  3.90  3.11
           18  1.50  0.727 -0.040  6.53  4.13 -1.64  -4.35 -1.78  1.73  1.52
           19  1.70  0.784 -0.035  3.91  2.67 -1.00  -1.55 -0.75  0.80  0.88
           20  2.00  0.846 -0.030  2.16  1.55 -0.44  -0.39 -0.15  0.20  0.23
           21  2.40  0.902 -0.025  1.03  0.80 -0.02  -0.13 -0.03  0.08  0.07
           22  2.80  0.922 -0.019  0.54  0.50  0.13   0.03  0.03  0.02  0.02
           23  3.20  0.924 -0.012  0.48  0.43  0.13   0.03  0.02  0.00  0.00
           24  3.60  0.925 -0.006  0.50  0.44  0.14   0.06  0.04  0.01  0.01
           25  4.00  0.925 -0.003  0.48  0.41  0.13   0.06  0.04  0.01  0.00
           26  5.00  0.926  0.010  0.43  0.38  0.12   0.04  0.03  0.00  0.00
           27  6.00  0.927  0.023  0.38  0.35  0.11   0.03  0.03  0.00 -0.01
           28  8.00  0.927  0.045  0.38  0.34  0.12   0.03  0.03  0.02  0.01

  6 27
             TABLE C. 6  (cont.)  CASE R.ST6      Station= 14
             X/H=   8.1      Tunnel Run#=  26   Ue/Uref=   0.922      Date=1501.81  Time=12.00
             Diverging Wall case, alpha=6 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10  0.149 -0.022 16.60  9.90 -0.74  -0.33  0.81  0.08 -0.95
            3  0.15  0.142 -0.026 16.64 10.49 -3.31   1.06  1.57 -0.96 -2.55
            4  0.20  0.160 -0.031 17.33 11.80 -4.24   1.30  1.23 -0.83 -1.84
            5  0.30  0.196 -0.041 18.96 14.05 -6.29  -0.61  0.61 -0.40 -2.45
            6  0.40  0.241 -0.051 19.68 15.02 -6.89  -2.22 -1.91  1.28  0.43
            7  0.50  0.277 -0.054 19.66 15.51 -7.56  -3.74 -3.21  2.46  1.85
            8  0.60  0.321 -0.057 20.04 15.25 -7.85  -6.32 -4.01  3.87  3.17
            9  0.70  0.365 -0.058 20.23 14.23 -7.85  -7.59 -5.14  5.52  4.18
           10  0.80  0.405 -0.058 19.18 13.65 -7.47  -7.93 -5.33  5.66  4.70
           11  0.90  0.453 -0.055 19.01 12.41 -6.98  -9.41 -6.36  6.75  5.73
           12  1.00  0.500 -0.054 18.08 11.03 -6.27 -10.30 -5.64  6.34  4.76
           13  1.10  0.546 -0.050 16.42  9.62 -5.39 -12.03 -5.79  6.72  4.94
           14  1.15  0.568 -0.049 15.65  9.06 -5.02 -12.33 -5.75  6.41  4.83
           15  1.20  0.591 -0.047 14.88  8.49 -4.65 -12.63 -5.70  6.10  4.72
           16  1.30  0.637 -0.044 12.98  7.11 -3.86 -12.92 -5.28  5.79  4.58
           17  1.40  0.680 -0.040 10.05  5.63 -3.00  -9.41 -3.61  4.20  3.41
           18  1.50  0.718 -0.038  7.55  4.36 -2.11  -6.05 -2.27  2.31  2.04
           19  1.70  0.776 -0.033  4.18  2.61 -1.07  -1.66 -0.65  0.78  0.82
           20  2.00  0.838 -0.028  2.35  1.45 -0.48  -0.46 -0.14  0.20  0.21
           21  2.40  0.894 -0.023  1.11  0.81 -0.13  -0.17 -0.04  0.09  0.07
           22  2.80  0.917 -0.017  0.55  0.48  0.02   0.04  0.03  0.02  0.01
           23  3.20  0.919 -0.010  0.46  0.40  0.05   0.04  0.03  0.01  0.01
           24  3.60  0.919 -0.003  0.43  0.36  0.07   0.04  0.03  0.00  0.01
           25  4.00  0.920  0.000  0.44  0.37  0.08   0.05  0.03  0.01  0.01
           26  5.00  0.921  0.011  0.44  0.36  0.08   0.05  0.03  0.01  0.01
           27  6.00  0.922  0.023  0.43  0.35  0.08   0.05  0.03  0.01  0.01
           28  8.00  0.922  0.044  0.42  0.35  0.07   0.04  0.02  0.01  0.00

  6 27
             TABLE C. 6  (cont.)  CASE R.ST6      Station= 15
             X/H=   8.6      Tunnel Run#=  27   Ue/Uref=   0.917      Date=1501.81  Time=12.00
             Diverging Wall case, alpha=6 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10  0.176 -0.037 13.68  8.44 -1.25  -1.17  0.86 -0.65 -1.17
            3  0.15  0.158 -0.022 13.78  9.50 -2.78   0.97  1.37 -0.96 -1.88
            4  0.20  0.182 -0.027 14.56 10.56 -3.28   0.58  0.89 -0.52 -2.32
            5  0.30  0.215 -0.036 16.05 12.58 -4.93  -0.10  0.20 -0.33 -1.50
            6  0.40  0.251 -0.041 16.97 13.49 -5.84  -1.05 -1.22  1.51 -0.12
            7  0.50  0.287 -0.050 17.89 14.62 -6.78  -2.11 -2.23  1.85  1.45
            8  0.60  0.329 -0.053 18.94 14.15 -7.15  -4.20 -2.82  3.38  2.50
            9  0.70  0.366 -0.055 18.98 14.33 -7.15  -5.29 -4.17  4.38  4.24
           10  0.80  0.408 -0.053 18.63 13.33 -7.03  -6.12 -4.45  5.04  4.28
           11  0.90  0.448 -0.054 18.49 12.28 -6.57  -7.89 -5.62  5.54  4.87
           12  1.00  0.492 -0.052 17.89 11.16 -6.14 -10.47 -5.96  6.23  5.16
           13  1.10  0.535 -0.049 16.84 10.28 -5.49 -11.42 -6.01  6.33  5.66
           14  1.15  0.558 -0.048 15.76  9.52 -5.03 -11.33 -5.54  5.89  5.24
           15  1.20  0.581 -0.048 14.69  8.75 -4.57 -11.24 -5.08  5.44  4.81
           16  1.30  0.626 -0.044 12.94  7.18 -3.73 -11.96 -4.66  5.26  3.79
           17  1.40  0.663 -0.040 10.98  6.23 -3.24 -10.90 -4.12  4.53  3.53
           18  1.50  0.702 -0.035  8.65  5.02 -2.46  -8.24 -3.03  3.24  2.78
           19  1.70  0.761 -0.031  5.18  3.16 -1.39  -3.22 -1.24  1.32  1.34
           20  2.00  0.826 -0.027  2.66  1.69 -0.59  -0.46 -0.19  0.27  0.27
           21  2.40  0.883 -0.021  1.30  0.95 -0.13  -0.14 -0.04  0.10  0.10
           22  2.80  0.909 -0.015  0.70  0.62  0.05   0.05  0.03  0.02  0.02
           23  3.20  0.913 -0.010  0.60  0.50  0.09   0.09  0.05  0.03  0.01
           24  3.60  0.914 -0.003  0.62  0.50  0.12   0.11  0.07  0.04  0.03
           25  4.00  0.915  0.000  0.57  0.46  0.08   0.08  0.05  0.01  0.00
           26  5.00  0.916  0.011  0.56  0.44  0.08   0.08  0.04  0.01  0.01
           27  6.00  0.917  0.022  0.55  0.43  0.09   0.07  0.04  0.01  0.01
           28  8.00  0.917  0.043  0.52  0.43  0.09   0.06  0.04  0.02  0.01

  6 27
             TABLE C. 6  (cont.)  CASE R.ST6      Station= 16
             X/H=   9.1      Tunnel Run#=  28   Ue/Uref=   0.904      Date=1501.81  Time=12.00
             Diverging Wall case, alpha=6 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10  0.178 -0.023 11.55  8.27 -1.41  -0.31  0.47 -0.24 -0.83
            3  0.15  0.195 -0.023 13.72  8.48 -2.51   2.20  1.14 -0.58 -1.19
            4  0.20  0.211 -0.027 13.94  9.58 -3.41   0.88  0.83 -0.53 -1.94
            5  0.30  0.238 -0.037 14.58 11.98 -4.69   0.77  0.35 -0.06 -1.40
            6  0.40  0.270 -0.044 15.49 12.92 -5.79  -0.35 -0.89  0.47  0.42
            7  0.50  0.299 -0.047 16.92 13.14 -6.06  -0.35 -1.88  1.83  0.59
            8  0.60  0.339 -0.052 16.86 13.15 -6.58  -2.62 -3.09  2.82  2.14
            9  0.70  0.373 -0.053 17.81 13.06 -7.03  -4.71 -3.76  3.73  3.21
           10  0.80  0.413 -0.051 17.75 12.47 -6.78  -6.60 -4.66  5.64  3.77
           11  0.90  0.456 -0.051 16.69 11.44 -5.90  -6.27 -4.81  4.66  4.72
           12  1.00  0.494 -0.053 16.27 10.59 -5.65  -9.56 -5.56  6.12  4.96
           13  1.10  0.536 -0.048 15.14  9.20 -5.12  -9.46 -5.05  5.50  4.89
           14  1.15  0.557 -0.046 14.66  8.70 -4.71 -10.39 -5.01  5.51  4.58
           15  1.20  0.578 -0.044 14.19  8.20 -4.29 -11.32 -4.97  5.51  4.27
           16  1.30  0.617 -0.040 12.53  6.99 -3.66 -11.65 -4.71  4.88  3.84
           17  1.40  0.658 -0.036 10.40  5.73 -3.01 -10.49 -4.17  4.55  3.31
           18  1.50  0.691 -0.033  8.30  4.73 -2.41  -8.47 -3.05  3.34  2.50
           19  1.70  0.750 -0.028  4.82  2.95 -1.39  -3.23 -1.38  1.52  1.34
           20  2.00  0.817 -0.021  2.43  1.55 -0.51  -0.51 -0.18  0.20  0.26
           21  2.40  0.872 -0.015  1.17  0.83 -0.08  -0.14 -0.05  0.08  0.10
           22  2.80  0.894 -0.010  0.61  0.53  0.10   0.01  0.01  0.01  0.04
           23  3.20  0.899 -0.005  0.52  0.41  0.10   0.04  0.03  0.01  0.02
           24  3.60  0.900  0.001  0.48  0.38  0.11   0.04  0.03  0.01  0.02
           25  4.00  0.901  0.005  0.46  0.36  0.12   0.03  0.02  0.01  0.02
           26  5.00  0.903  0.015  0.44  0.33  0.11   0.03  0.02  0.01  0.02
           27  6.00  0.904  0.025  0.41  0.31  0.09   0.03  0.02  0.01  0.02
           28  8.00  0.904  0.045  0.46  0.34  0.11   0.02  0.02  0.01  0.01

  6 27
             TABLE C. 6  (cont.)  CASE R.ST6      Station= 17
             X/H=  10.0      Tunnel Run#=  29   Ue/Uref=   0.893      Date=1501.81  Time=12.00
             Diverging Wall case, alpha=6 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10  0.220 -0.022  9.94  7.84 -0.50   1.40  0.76 -0.44 -0.39
            3  0.15  0.224 -0.023 10.66  8.36 -2.13   2.19  1.27 -0.80 -1.38
            4  0.20  0.238 -0.027 11.42  9.18 -2.73   2.20  1.33 -1.01 -1.43
            5  0.30  0.261 -0.032 12.75 10.98 -3.81   2.30  1.46 -0.85 -1.54
            6  0.40  0.287 -0.038 13.98 11.74 -4.94   2.04  0.57 -0.51 -0.72
            7  0.50  0.319 -0.043 15.01 12.84 -5.49   0.45 -0.04  0.45  0.40
            8  0.60  0.349 -0.042 15.82 12.38 -5.82  -1.87 -1.54  1.93  1.16
            9  0.70  0.381 -0.044 16.05 12.27 -5.91  -2.54 -2.81  2.84  2.33
           10  0.80  0.417 -0.045 16.50 12.06 -5.98  -4.04 -3.29  3.60  2.97
           11  0.90  0.450 -0.043 16.09 11.01 -5.76  -5.02 -3.86  3.74  3.63
           12  1.00  0.485 -0.040 16.31 10.60 -5.75  -7.36 -4.67  4.59  4.63
           13  1.10  0.527 -0.040 15.51  9.77 -5.07  -8.46 -5.00  4.99  3.79
           14  1.15  0.544 -0.038 15.11  9.24 -5.01  -9.72 -5.18  5.25  4.02
           15  1.20  0.561 -0.036 14.70  8.71 -4.95 -10.97 -5.37  5.51  4.25
           16  1.30  0.599 -0.033 13.26  7.58 -4.09 -11.30 -4.79  5.20  4.19
           17  1.40  0.636 -0.028 11.32  6.67 -3.56 -10.30 -4.67  4.66  4.16
           18  1.50  0.673 -0.027  9.11  5.30 -2.66  -8.44 -3.58  3.58  2.98
           19  1.70  0.731 -0.023  5.70  3.49 -1.51  -4.26 -1.81  1.51  1.54
           20  2.00  0.799 -0.016  2.69  1.79 -0.66  -0.73 -0.39  0.44  0.52
           21  2.40  0.855 -0.010  1.28  0.85 -0.19  -0.22 -0.05  0.10  0.13
           22  2.80  0.882 -0.004  0.59  0.50  0.02   0.04  0.02  0.03  0.05
           23  3.20  0.886  0.000  0.44  0.34  0.05   0.05  0.02  0.01  0.02
           24  3.60  0.887  0.004  0.42  0.32  0.06   0.05  0.03  0.01  0.03
           25  4.00  0.889  0.009  0.42  0.31  0.06   0.06  0.03  0.01  0.03
           26  5.00  0.891  0.018  0.41  0.29  0.05   0.05  0.02  0.01  0.02
           27  6.00  0.893  0.027  0.39  0.28  0.04   0.05  0.02  0.01  0.01
           28  8.00  0.894  0.044  0.40  0.31  0.08   0.02  0.02  0.01  0.02

  6 27
             TABLE C. 6  (cont.)  CASE R.ST6      Station= 18
             X/H=  12.0      Tunnel Run#=  31   Ue/Uref=   0.872      Date=1501.81  Time=12.00
             Diverging Wall case, alpha=6 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10  0.257 -0.020  7.89  6.13 -0.71   2.01  0.76 -0.55 -0.31
            3  0.15  0.273 -0.020  8.88  6.44 -1.61   2.27  1.16 -0.53 -0.50
            4  0.20  0.284 -0.023  9.21  7.45 -1.93   2.29  1.24 -0.44 -1.06
            5  0.30  0.308 -0.029 10.74  8.69 -2.95   1.66  1.19 -0.66 -1.38
            6  0.40  0.334 -0.033 12.37  9.56 -3.89   2.41  1.10 -0.84 -1.14
            7  0.50  0.362 -0.038 13.01  9.61 -4.23   1.01  0.19 -0.04 -0.59
            8  0.60  0.387 -0.041 13.83 10.42 -4.82   0.55 -0.70  0.37  0.77
            9  0.70  0.416 -0.043 14.60 10.58 -5.22  -1.34 -1.57  1.46  1.01
           10  0.80  0.442 -0.042 14.63 10.22 -5.38  -2.65 -2.02  2.41  1.79
           11  0.90  0.474 -0.044 14.69 10.30 -5.24  -4.19 -2.72  2.88  2.59
           12  1.00  0.503 -0.043 14.37  9.83 -5.03  -5.72 -3.81  3.44  3.05
           13  1.10  0.534 -0.041 14.02  9.20 -4.79  -7.17 -3.98  4.07  3.11
           14  1.15  0.548 -0.040 13.77  8.95 -4.69  -7.68 -4.15  4.20  3.30
           15  1.20  0.563 -0.039 13.51  8.71 -4.58  -8.19 -4.33  4.33  3.49
           16  1.30  0.597 -0.037 12.14  7.54 -3.78  -8.71 -4.41  4.26  3.27
           17  1.40  0.625 -0.032 10.88  6.73 -3.45  -8.49 -3.96  4.04  3.21
           18  1.50  0.662 -0.031  9.52  5.66 -2.94  -8.64 -3.77  3.65  2.88
           19  1.70  0.710 -0.024  7.12  4.23 -2.04  -6.57 -2.68  2.54  2.13
           20  2.00  0.779 -0.016  3.36  2.32 -1.03  -2.08 -1.00  1.11  0.93
           21  2.40  0.835 -0.009  1.44  1.05 -0.27  -0.21 -0.10  0.15  0.16
           22  2.80  0.862 -0.003  0.71  0.58 -0.06   0.01  0.01  0.03  0.05
           23  3.20  0.868  0.001  0.50  0.41  0.01   0.05  0.03  0.01  0.02
           24  3.60  0.871  0.003  0.47  0.38  0.00   0.07  0.04  0.00  0.00
           25  4.00  0.871  0.006  0.45  0.36  0.00   0.08  0.04  0.00  0.01
           26  5.00  0.871  0.010  0.43  0.35 -0.01   0.05  0.03  0.00  0.00
           27  6.00  0.872  0.020  0.40  0.34  0.00   0.04  0.03  0.01  0.01
           28  8.00  0.875  0.037  0.39  0.33  0.01   0.03  0.03  0.00  0.00

  6 27
             TABLE C. 6  (cont.)  CASE R.ST6      Station= 19
             X/H=  14.0      Tunnel Run#=  32   Ue/Uref=   0.860      Date=1501.81  Time=12.00
             Diverging Wall case, alpha=6 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10  0.277 -0.021  6.24  6.00 -0.74   0.87  0.83 -0.20 -0.24
            3  0.15  0.290 -0.019  8.28  6.97 -0.41   1.41  1.18 -0.06 -0.38
            4  0.20  0.306 -0.019  9.31  5.92 -1.37   2.72  0.75 -0.24 -0.98
            5  0.30  0.326 -0.023  9.89  7.11 -2.29   1.94  1.23 -0.53 -0.94
            6  0.40  0.346 -0.026 10.64  7.98 -3.06   1.88  0.78 -0.43 -1.02
            7  0.50  0.369 -0.030 11.61  8.91 -3.68   1.51  0.50 -0.22 -0.42
            8  0.60  0.389 -0.030 11.99  9.10 -3.96   1.20  0.10  0.05  0.28
            9  0.70  0.414 -0.031 12.49  9.57 -4.07   0.08 -0.40  0.67  0.84
           10  0.80  0.438 -0.033 13.52  9.67 -4.59  -1.37 -1.22  1.42  1.40
           11  0.90  0.464 -0.032 13.49  9.59 -4.35  -1.70 -1.63  1.70  1.87
           12  1.00  0.489 -0.034 13.21  9.22 -4.35  -3.97 -2.08  2.57  1.40
           13  1.10  0.515 -0.030 13.17  9.06 -4.19  -4.29 -2.79  2.91  2.84
           14  1.15  0.529 -0.030 12.94  8.82 -4.17  -5.10 -3.02  3.04  2.79
           15  1.20  0.543 -0.030 12.72  8.59 -4.15  -5.91 -3.25  3.18  2.74
           16  1.30  0.568 -0.025 12.61  8.00 -3.99  -6.54 -3.44  3.40  2.75
           17  1.40  0.601 -0.025 11.46  7.50 -3.64  -7.49 -3.94  3.54  2.83
           18  1.50  0.627 -0.022 10.60  6.38 -3.17  -8.16 -3.66  3.45  2.92
           19  1.70  0.683 -0.017  7.99  4.92 -2.38  -7.26 -3.16  2.94  2.33
           20  2.00  0.751 -0.011  4.41  2.81 -1.25  -3.51 -1.50  1.45  1.14
           21  2.40  0.813 -0.001  1.79  1.37 -0.48  -0.65 -0.34  0.41  0.38
           22  2.80  0.846  0.005  0.77  0.68 -0.06   0.00 -0.01  0.05  0.08
           23  3.20  0.854  0.008  0.53  0.48  0.03   0.05  0.03  0.02  0.03
           24  3.60  0.855  0.011  0.48  0.39  0.04   0.05  0.03  0.01  0.02
           25  4.00  0.856  0.013  0.44  0.35  0.03   0.07  0.03  0.01  0.01
           26  5.00  0.858  0.019  0.41  0.32  0.03   0.06  0.03  0.01  0.01
           27  6.00  0.860  0.025  0.37  0.30  0.02   0.05  0.03  0.01  0.01
           28  8.00  0.860  0.039  0.33  0.30  0.04   0.03  0.03  0.01  0.01

  6 27
             TABLE C. 6  (cont.)  CASE R.ST6      Station= 20
             X/H=  16.0      Tunnel Run#=  33   Ue/Uref=   0.841      Date=1501.81  Time=12.00
             Diverging Wall case, alpha=6 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10  0.294 -0.017  7.20  4.35 -0.72   1.95  0.55 -0.18 -0.26
            3  0.15  0.314 -0.015  8.00  4.44 -1.04   1.93  0.64 -0.24 -0.41
            4  0.20  0.326 -0.016  8.62  4.89 -1.37   2.53  0.86 -0.17 -0.38
            5  0.30  0.345 -0.019  9.36  5.81 -1.88   1.91  0.64 -0.35 -0.68
            6  0.40  0.364 -0.022 10.06  6.88 -2.51   1.88  0.81 -0.29 -1.00
            7  0.50  0.380 -0.024 10.55  7.72 -3.02   1.46  0.58 -0.19 -0.65
            8  0.60  0.397 -0.026 11.36  7.94 -3.49   1.15  0.44  0.05 -0.49
            9  0.70  0.417 -0.026 11.90  8.57 -3.71   0.52 -0.20  0.06  0.11
           10  0.80  0.438 -0.028 12.32  8.53 -3.89  -0.64 -0.36  1.01  0.73
           11  0.90  0.460 -0.029 12.73  8.68 -3.85  -1.38 -0.87  1.41  1.25
           12  1.00  0.480 -0.027 13.08  8.39 -4.21  -1.36 -1.26  1.39  1.40
           13  1.10  0.503 -0.027 12.86  8.08 -3.97  -3.16 -2.00  2.07  1.82
           14  1.15  0.516 -0.027 12.80  8.12 -3.98  -3.90 -2.24  2.36  1.94
           15  1.20  0.529 -0.026 12.73  8.16 -3.99  -4.65 -2.48  2.66  2.05
           16  1.30  0.552 -0.024 12.31  7.75 -3.96  -5.33 -2.94  3.12  2.57
           17  1.40  0.577 -0.022 12.25  7.24 -3.56  -6.44 -2.95  2.88  2.28
           18  1.50  0.604 -0.019 11.41  6.45 -3.20  -7.50 -2.97  2.98  2.28
           19  1.70  0.653 -0.016  9.64  5.35 -2.54  -7.95 -2.94  2.91  2.20
           20  2.00  0.723 -0.009  6.05  3.45 -1.62  -5.47 -1.89  1.94  1.31
           21  2.40  0.792  0.000  2.34  1.67 -0.58  -1.12 -0.43  0.51  0.41
           22  2.80  0.828  0.006  0.98  0.89 -0.13  -0.03 -0.03  0.05  0.08
           23  3.20  0.838  0.011  0.65  0.61  0.00   0.05  0.02  0.01  0.03
           24  3.60  0.839  0.012  0.61  0.52  0.08   0.07  0.04  0.01  0.03
           25  4.00  0.839  0.015  0.54  0.44  0.07   0.04  0.02  0.00  0.01
           26  5.00  0.840  0.020  0.50  0.40  0.06   0.04  0.02  0.00  0.01
           27  6.00  0.841  0.025  0.45  0.36  0.05   0.03  0.02  0.00  0.01
           28  8.00  0.842  0.037  0.41  0.32  0.05   0.03  0.02  0.00  0.01

  6 27
             TABLE C. 6  (cont.)  CASE R.ST6      Station= 21
             X/H=  20.0      Tunnel Run#=  34   Ue/Uref=   0.821      Date=1501.81  Time=12.00
             Diverging Wall case, alpha=6 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10  0.320 -0.012  6.94  3.36 -0.69   1.80  0.40 -0.08 -0.27
            3  0.15  0.329 -0.011  7.31  3.78 -0.89   1.60  0.40 -0.12 -0.38
            4  0.20  0.340 -0.011  7.74  4.05 -1.04   1.78  0.56 -0.23 -0.41
            5  0.30  0.353 -0.010  8.18  4.73 -1.51   1.69  0.62 -0.18 -0.65
            6  0.40  0.368 -0.011  8.69  5.38 -1.80   1.50  0.72 -0.38 -0.73
            7  0.50  0.384 -0.011  9.32  6.53 -2.41   1.64  0.84 -0.51 -0.64
            8  0.60  0.400 -0.014  9.68  6.43 -2.52   1.68  0.73 -0.26 -0.47
            9  0.70  0.417 -0.015 10.57  6.97 -2.99   1.19  0.41  0.08 -0.30
           10  0.80  0.431 -0.016 10.58  7.20 -3.32   0.76  0.27  0.01  0.14
           11  0.90  0.448 -0.016 11.14  7.30 -3.34   0.48 -0.20  0.37  0.33
