%F0251a.pt1  Van den Berg et al. 35 deg. yawed wing
%J. Fluid Mech. vol. 70, p. 127 (1975).
% Columns of normalized values (min. = 0, max = 10000)
% from 1980-81 data library, followed by "true" values.
%Station numbers and x values are different for mean
%flow (this file) and turbulence measurements (pt2):-
%
%Stn. no 2,   3,   4,   6,   8,   10,   12,   14,   16,   18
%x (m) .52, .62, .72, .82, .92, 1.02, 1.12, 1.22, 1.32, 1.42
%___________________________________________________________
%
%
%Station   x(m)   Ue/Uref    Alpha     Cf     Betaw
 4966  8899  3250  1.1001E-02  9.3398E-01  1.5000E-02
 5423  9088  2500  1.1999E-02  9.4600E-01  1.2000E-02
 5876  9481  2000  1.2989E-02  9.7099E-01  1.0000E-02
 6343  9560   250  1.4009E-02  9.7602E-01  3.0000E-03
 6792  9733  1250  1.4991E-02  9.8702E-01  7.0000E-03
 7254  9796   750  1.6000E-02  9.9103E-01  5.0000E-03
 8169  9906   250  1.7999E-02  9.9802E-01  3.0000E-03
 9085  9921     0  2.0001E-02  9.9898E-01  2.0000E-03
10000 10000   500  2.2000E-02  1.0040E+00  4.0000E-03
%
%
%Station   x(m)   Ue/Uref    Alpha     Cf     Betaw
   6     0.820   0.933     7.200  0.002655   8.65
%Max. and min values for each column:
%    2.601000E-02 1.007000E+00 6.800000E-02
%    1.500000E-04 3.190000E-01 0.000000E+00
%Norm.y U/Ue W/Ue  True y, m      U/Ue        W/Ue
    0     0  6765  1.5000E-04  3.1900E-01  4.6002E-02
   19   698  7206  1.9913E-04  3.6702E-01  4.9001E-02
   58  1701  8824  2.9999E-04  4.3603E-01  6.0003E-02
   93  2282  9412  3.9050E-04  4.7600E-01  6.4002E-02
  174  2936 10000  5.9996E-04  5.2100E-01  6.8000E-02
  251  3270 10000  7.9909E-04  5.4398E-01  6.8000E-02
  333  3547 10000  1.0111E-03  5.6303E-01  6.8000E-02
  406  3706 10000  1.1999E-03  5.7397E-01  6.8000E-02
  565  4113  9706  1.6111E-03  6.0197E-01  6.6001E-02
  715  4491  9706  1.9990E-03  6.2798E-01  6.6001E-02
  913  4724  9265  2.5110E-03  6.4401E-01  6.3002E-02
 1102  4956  8971  2.9998E-03  6.5997E-01  6.1003E-02
 1292  5262  8824  3.4911E-03  6.8103E-01  6.0003E-02
 1493  5480  8529  4.0109E-03  6.9602E-01  5.7997E-02
 1875  5959  7941  4.9988E-03  7.2898E-01  5.3999E-02
 2262  6395  7059  5.9995E-03  7.5898E-01  4.8001E-02
 2653  6759  6471  7.0107E-03  7.8402E-01  4.4003E-02
 3028  7151  5882  7.9804E-03  8.1099E-01  3.9998E-02
 3422  7384  5147  8.9993E-03  8.2702E-01  3.5000E-02
 3805  7762  4118  9.9897E-03  8.5303E-01  2.8002E-02
 4196  8038  3529  1.1001E-02  8.7201E-01  2.3997E-02
 4582  8416  3235  1.1999E-02  8.9802E-01  2.1998E-02
 4969  8605  2500  1.3000E-02  9.1102E-01  1.7000E-02
 5360  9012  2206  1.4011E-02  9.3903E-01  1.5001E-02
 5739  9041  1618  1.4991E-02  9.4102E-01  1.1002E-02
 6129  9346  1176  1.6000E-02  9.6200E-01  7.9968E-03
 6906  9578   735  1.8009E-02  9.7797E-01  4.9980E-03
 7680  9855   294  2.0010E-02  9.9702E-01  1.9992E-03
 8449  9811   294  2.1999E-02  9.9400E-01  1.9992E-03
 9223 10000   294  2.4001E-02  1.0070E+00  1.9992E-03
10000  9884     0  2.6010E-02  9.9902E-01  0.0000E+00
%
%
%Station   x(m)   Ue/Uref    Alpha     Cf     Betaw
   8     0.920   0.897     9.600  0.002310  13.10
%Max. and min values for each column:
%    3.000000E-02 1.005000E+00 1.080000E-01
%    1.500000E-04 2.530000E-01 0.000000E+00
%Norm.y U/Ue  W/Ue  True y, m      U/Ue        W/Ue
    0     0  5185  1.5000E-04  2.5300E-01  5.5998E-02
   17   771  6204  2.0075E-04  3.1098E-01  6.7003E-02
   50  1569  8148  2.9925E-04  3.7099E-01  8.7998E-02
   84  2114  9074  4.0074E-04  4.1197E-01  9.7999E-02
  154  2699  9444  6.0969E-04  4.5596E-01  1.0200E-01
  218  3085  9722  8.0073E-04  4.8499E-01  1.0500E-01
  285  3351  9907  1.0007E-03  5.0500E-01  1.0700E-01
  348  3551 10000  1.1888E-03  5.2004E-01  1.0800E-01
  489  3830  9815  1.6097E-03  5.4102E-01  1.0600E-01
  616  4109  9815  1.9888E-03  5.6200E-01  1.0600E-01
  791  4335  9722  2.5111E-03  5.7899E-01  1.0500E-01
  958  4588  9352  3.0096E-03  5.9802E-01  1.0100E-01
 1122  4801  9074  3.4992E-03  6.1404E-01  9.7999E-02
 1290  5000  8796  4.0007E-03  6.2900E-01  9.4997E-02
 1625  5399  8333  5.0006E-03  6.5900E-01  8.9996E-02
 1960  5824  7870  6.0006E-03  6.9096E-01  8.4996E-02
 2291  6157  7222  6.9886E-03  7.1601E-01  7.7998E-02
 2623  6449  6481  7.9797E-03  7.3796E-01  6.9995E-02
 2961  6769  6019  8.9886E-03  7.6203E-01  6.5005E-02
 3296  7114  5741  9.9886E-03  7.8797E-01  6.2003E-02
 3635  7394  5278  1.1000E-02  8.0903E-01  5.7002E-02
 3970  7726  4815  1.2000E-02  8.3400E-01  5.2002E-02
 4302  7926  4259  1.2991E-02  8.4904E-01  4.5997E-02
 4643  8152  3796  1.4009E-02  8.6603E-01  4.0997E-02
 5310  8604  2778  1.6000E-02  9.0002E-01  3.0002E-02
 5980  9149  1852  1.8000E-02  9.4100E-01  2.0002E-02
 6650  9322  1389  2.0000E-02  9.5401E-01  1.5001E-02
 7323  9734   926  2.2009E-02  9.8500E-01  1.0001E-02
 7990  9787   463  2.4000E-02  9.8898E-01  5.0004E-03
 8657  9987     0  2.5991E-02  1.0040E+00  0.0000E+00
 9333  9867   185  2.8009E-02  9.9500E-01  1.9980E-03
10000 10000   370  3.0000E-02  1.0050E+00  3.9960E-03
%
%
%Station   x(m)   Ue/Uref    Alpha     Cf     Betaw
  10     1.020   0.867     11.30  0.001970  20.90
%Max. and min values for each column:
%    3.499000E-02 1.001000E+00 1.580000E-01
%    1.500000E-04 2.520000E-01 2.000000E-03
%Norm.y U/Ue  W/Ue  True y, m      U/Ue        W/Ue
    0     0  4808  1.5000E-04  2.5200E-01  7.7005E-02
   14   534  6346  1.9878E-04  2.9200E-01  1.0100E-01
   46  1175  7564  3.1026E-04  3.4001E-01  1.2000E-01
   72  1575  8526  4.0085E-04  3.6997E-01  1.3501E-01
  132  2043  9103  6.0989E-04  4.0502E-01  1.4401E-01
  187  2336  9551  8.0151E-04  4.2697E-01  1.5100E-01
  247  2617  9615  1.0105E-03  4.4801E-01  1.5199E-01
  304  2684  9679  1.2091E-03  4.5303E-01  1.5299E-01
  416  2977  9872  1.5993E-03  4.7498E-01  1.5600E-01
  534  3218  9872  2.0105E-03  4.9303E-01  1.5600E-01
  672  3471 10000  2.4912E-03  5.1198E-01  1.5800E-01
  824  3685  9808  3.0208E-03  5.2801E-01  1.5500E-01
  959  3832  9808  3.4912E-03  5.3902E-01  1.5500E-01
 1111  4032  9744  4.0207E-03  5.5400E-01  1.5401E-01
 1389  4352  9295  4.9893E-03  5.7796E-01  1.4700E-01
 1679  4686  8718  5.9996E-03  6.0298E-01  1.3800E-01
 1966  4953  8590  6.9995E-03  6.2298E-01  1.3600E-01
 2253  5340  8077  7.9995E-03  6.5197E-01  1.2800E-01
 2540  5554  7756  8.9994E-03  6.6799E-01  1.2299E-01
 2824  5861  6923  9.9888E-03  6.9099E-01  1.1000E-01
 3111  6182  6795  1.0989E-02  7.1503E-01  1.0800E-01
 3407  6475  6346  1.2020E-02  7.3698E-01  1.0100E-01
 3685  6702  5833  1.2989E-02  7.5398E-01  9.2995E-02
 3975  6862  5321  1.3999E-02  7.6596E-01  8.5008E-02
 4265  7183  4744  1.5009E-02  7.9001E-01  7.6006E-02
 4549  7477  4359  1.5999E-02  8.1203E-01  7.0000E-02
 5121  7944  3462  1.7992E-02  8.4701E-01  5.6007E-02
 5697  8371  2821  1.9998E-02  8.7899E-01  4.6008E-02
 6269  8745  1987  2.1991E-02  9.0700E-01  3.2997E-02
 6846  9226  1346  2.4001E-02  9.4303E-01  2.2998E-02
 7420  9493   705  2.6001E-02  9.6303E-01  1.2998E-02
 7994  9760   321  2.8001E-02  9.8302E-01  7.0076E-03
 8565  9866     0  2.9990E-02  9.9096E-01  2.0000E-03
 9285  9973     0  3.2499E-02  9.9898E-01  2.0000E-03
10000 10000    64  3.4990E-02  1.0010E+00  2.9984E-03
%
%
%Station   x(m)   Ue/Uref    Alpha     Cf     Betaw
  12     1.120   0.846     13.80  0.001695  27.00
%Max. and min values for each column:
%    4.500000E-02 1.003000E+00 2.200000E-01
%    1.600000E-04 1.950000E-01 0.000000E+00
%Norm.y U/Ue  W/Ue  True y, m      U/Ue        W/Ue
   0      0  4909  1.6000E-04  1.9500E-01  1.0800E-01
   11   408  5227  2.0932E-04  2.2797E-01  1.1499E-01
   33  1027  6955  3.0797E-04  2.7798E-01  1.5301E-01
   54  1349  7682  4.0214E-04  3.0400E-01  1.6900E-01
   98  1869  8591  5.9943E-04  3.4602E-01  1.8900E-01
  143  2116  9000  8.0121E-04  3.6597E-01  1.9800E-01
  187  2277  9136  9.9851E-04  3.7898E-01  2.0099E-01
  232  2351  9273  1.2003E-03  3.8496E-01  2.0401E-01
  323  2673  9773  1.6083E-03  4.1098E-01  2.1501E-01
  408  2797  9773  1.9895E-03  4.2100E-01  2.1501E-01
  522  3045  9955  2.5006E-03  4.4104E-01  2.1901E-01
  633  3144  9864  2.9984E-03  4.4904E-01  2.1701E-01
  747  3379 10000  3.5095E-03  4.6802E-01  2.2000E-01
  856  3428  9773  3.9983E-03  4.7198E-01  2.1501E-01
 1077  3762  9773  4.9893E-03  4.9897E-01  2.1501E-01
 1300  3985  9591  5.9892E-03  5.1699E-01  2.1100E-01
 1523  4220  9409  6.9891E-03  5.3598E-01  2.0700E-01
 1748  4418  9091  7.9980E-03  5.5197E-01  2.0000E-01
 1971  4703  8864  8.9980E-03  5.7500E-01  1.9501E-01
 2192  4876  8500  9.9889E-03  5.8898E-01  1.8700E-01
 2417  5136  8182  1.0998E-02  6.0999E-01  1.8000E-01
 2643  5272  7818  1.2011E-02  6.2098E-01  1.7200E-01
 2861  5520  7591  1.2989E-02  6.4102E-01  1.6700E-01
 3084  5718  7182  1.3989E-02  6.5701E-01  1.5800E-01
 3314  5953  6818  1.5020E-02  6.7600E-01  1.5000E-01
 3535  6089  6409  1.6011E-02  6.8699E-01  1.4100E-01
 3979  6584  5636  1.8002E-02  7.2699E-01  1.2399E-01
 4425  6881  4909  2.0002E-02  7.5098E-01  1.0800E-01
 4868  7401  4227  2.1988E-02  7.9300E-01  9.2994E-02
 5321  7760  3591  2.4019E-02  8.2201E-01  7.9002E-02
 5765  8131  2909  2.6010E-02  8.5198E-01  6.3998E-02
 6209  8502  2318  2.8001E-02  8.8196E-01  5.0996E-02
 6655  8886  1682  3.0001E-02  9.1299E-01  3.7004E-02
 7212  9146  1091  3.2499E-02  9.3400E-01  2.4002E-02
 7770  9530   591  3.5001E-02  9.6502E-01  1.3002E-02
 8327  9703   227  3.7498E-02  9.7900E-01  4.9940E-03
 8885  9926     0  4.0000E-02  9.9702E-01  0.0000E+00
 9440  9864     0  4.2489E-02  9.9201E-01  0.0000E+00
10000 10000    91  4.5000E-02  1.0030E+00  2.0020E-03
%
%
%Station   x(m)   Ue/Uref    Alpha     Cf     Betaw
   14    1.220   0.830     15.00  0.001500  35.40
%Max. and min values for each column:
%    5.750000E-02 1.001000E+00 2.670000E-01
%    1.500000E-04 1.550000E-01 2.000000E-03
%Norm.y U/Ue  W/Ue  True y, m      U/Ue        W/Ue
    0     0  3811  1.5000E-04  1.5500E-01  1.0299E-01
    9   508  5283  2.0162E-04  1.9798E-01  1.4200E-01
   26   922  6340  2.9911E-04  2.3300E-01  1.7001E-01
   45  1395  7434  4.0808E-04  2.7302E-01  1.9900E-01
   80  1726  8038  6.0880E-04  3.0102E-01  2.1501E-01
  113  2021  8642  7.9806E-04  3.2598E-01  2.3101E-01
  148  2128  8830  9.9878E-04  3.3503E-01  2.3600E-01
  183  2293  9094  1.1995E-03  3.4899E-01  2.4299E-01
  253  2423  9358  1.6010E-03  3.5999E-01  2.4999E-01
  323  2636  9660  2.0024E-03  3.7801E-01  2.5799E-01
  410  2742  9774  2.5014E-03  3.8697E-01  2.6101E-01
  497  2896  9925  3.0003E-03  4.0000E-01  2.6501E-01
  586  2991  9925  3.5107E-03  4.0804E-01  2.6501E-01
  670  3109 10000  3.9925E-03  4.1802E-01  2.6700E-01
  844  3286  9925  4.9903E-03  4.3300E-01  2.6501E-01
 1020  3499  9925  5.9997E-03  4.5102E-01  2.6501E-01
 1196  3664  9849  7.0091E-03  4.6497E-01  2.6300E-01
 1369  3901  9849  8.0012E-03  4.8502E-01  2.6300E-01
 1541  4019  9547  8.9876E-03  4.9501E-01  2.5500E-01
 1718  4208  9434  1.0003E-02  5.1100E-01  2.5200E-01
 1892  4433  9283  1.1001E-02  5.3003E-01  2.4800E-01
 2066  4539  8981  1.1999E-02  5.3900E-01  2.4000E-01
 2241  4716  8755  1.3002E-02  5.5397E-01  2.3401E-01
 2415  4858  8528  1.4000E-02  5.6599E-01  2.2799E-01
 2589  4976  8189  1.4998E-02  5.7597E-01  2.1901E-01
 2765  5201  8000  1.6007E-02  5.9500E-01  2.1400E-01
 3112  5532  7434  1.7997E-02  6.2301E-01  1.9900E-01
 3461  5910  6868  1.9999E-02  6.5499E-01  1.8400E-01
 3812  6300  6415  2.2012E-02  6.8798E-01  1.7200E-01
 4159  6548  5774  2.4002E-02  7.0896E-01  1.5501E-01
 4509  6915  5170  2.6009E-02  7.4001E-01  1.3901E-01
 4856  7246  4453  2.7999E-02  7.6801E-01  1.2000E-01
 5203  7624  3811  2.9989E-02  7.9999E-01  1.0299E-01
 5641  8050  3132  3.2501E-02  8.3603E-01  8.4998E-02
 6078  8286  2528  3.5007E-02  8.5600E-01  6.8992E-02
 6513  8771  1887  3.7502E-02  8.9703E-01  5.2006E-02
 6949  9019  1358  4.0003E-02  9.1801E-01  3.7987E-02
 7383  9362   906  4.2492E-02  9.4703E-01  2.6009E-02
 7819  9669   491  4.4992E-02  9.7300E-01  1.5012E-02
 8256  9882   113  4.7498E-02  9.9102E-01  4.9945E-03
 8692 10000    38  4.9999E-02  1.0010E+00  3.0070E-03
 9128 10000    38  5.2499E-02  1.0010E+00  3.0070E-03
10000  9953     0  5.7500E-02  9.9702E-01  2.0000E-03
%
%
%Station   x(m)   Ue/Uref    Alpha     Cf     Betaw
  16     1.320   0.821     16.10  0.001530  39.20
%Max. and min values for each column:
%    6.500000E-02 1.003000E+00 3.010000E-01
%    2.000000E-04 1.820000E-01 -2.00000E-03
%Norm.y U/Ue  W/Ue  True y, m      U/Ue        W/Ue
    0     0  4818  2.0000E-04  1.8200E-01  1.4399E-01
   17   536  6106  3.1016E-04  2.2601E-01  1.8301E-01
   31   865  6898  4.0088E-04  2.5302E-01  2.0701E-01
   62  1291  7723  6.0176E-04  2.8799E-01  2.3201E-01
   93  1523  8119  8.0264E-04  3.0704E-01  2.4401E-01
  122  1681  8416  9.9056E-04  3.2001E-01  2.5300E-01
  153  1815  8746  1.1914E-03  3.3101E-01  2.6300E-01
  216  1961  9076  1.5997E-03  3.4300E-01  2.7300E-01
  279  2107  9307  2.0079E-03  3.5498E-01  2.8000E-01
  353  2241  9439  2.4874E-03  3.6599E-01  2.8400E-01
  432  2363  9604  2.9994E-03  3.7600E-01  2.8900E-01
  509  2473  9670  3.4983E-03  3.8503E-01  2.9100E-01
  585  2582  9802  3.9908E-03  3.9398E-01  2.9500E-01
  739  2753  9901  4.9887E-03  4.0802E-01  2.9800E-01
  895  2850  9802  5.9996E-03  4.1599E-01  2.9500E-01
 1049  3082 10000  6.9975E-03  4.3503E-01  3.0100E-01
 1204  3167  9868  8.0019E-03  4.4201E-01  2.9700E-01
 1360  3350  9901  9.0128E-03  4.5704E-01  2.9800E-01
 1512  3447  9736  9.9978E-03  4.6500E-01  2.9300E-01
 1667  3630  9703  1.1002E-02  4.8002E-01  2.9200E-01
 1821  3678  9472  1.2000E-02  4.8396E-01  2.8500E-01
 1975  3739  9439  1.2998E-02  4.8897E-01  2.8400E-01
 2128  3946  9175  1.3989E-02  5.0597E-01  2.7600E-01
 2284  4117  9043  1.5000E-02  5.2001E-01  2.7200E-01
 2437  4178  8746  1.5992E-02  5.2501E-01  2.6300E-01
 2747  4495  8482  1.8001E-02  5.5104E-01  2.5500E-01
 3056  4726  8053  2.0003E-02  5.7000E-01  2.4201E-01
 3364  4982  7624  2.1999E-02  5.9102E-01  2.2901E-01
 3673  5225  7129  2.4001E-02  6.1097E-01  2.1401E-01
 3981  5566  6667  2.5997E-02  6.3897E-01  2.0001E-01
 4292  5761  6139  2.8012E-02  6.5498E-01  1.8401E-01
 4599  6163  5743  3.0002E-02  6.8798E-01  1.7201E-01
 4985  6480  5116  3.2503E-02  7.1401E-01  1.5301E-01
 5370  6955  4521  3.4998E-02  7.5301E-01  1.3499E-01
 5756  7235  3894  3.7499E-02  7.7599E-01  1.1599E-01
 6142  7759  3333  4.0000E-02  8.1901E-01  9.8990E-02
 6528  8063  2805  4.2501E-02  8.4397E-01  8.2992E-02
 6912  8477  2178  4.4990E-02  8.7796E-01  6.3993E-02
 7301  8794  1749  4.7510E-02  9.0399E-01  5.0995E-02
 7685  9184  1254  4.9999E-02  9.3601E-01  3.5996E-02
 8071  9403   825  5.2500E-02  9.5399E-01  2.2998E-02
 8458  9671   462  5.5008E-02  9.7599E-01  1.1999E-02
 8843  9817   231  5.7503E-02  9.8798E-01  4.9993E-03
 9230 10000     0  6.0010E-02  1.0030E+00 -2.0000E-03
