Y/DEL995,U/UE
0.0231417,0.4568900051578
0.025267798242357,0.45557
0.028456939953751002,0.464740013104
0.032668248846854,0.472460020336
0.0369204905487,0.48381005128
0.04325778464133,0.488770027434
0.048532250046300004,0.497320063936
0.05380660240844,0.503350067328
0.06018481800553,0.51401995884
0.06652222514099,0.52101028078
0.07498574182309001,0.5301898763799999
0.09191266214445999,0.55136991484
0.11305088005465001,0.5696599596199999
0.13525226578099,0.5914699382999999
0.1722542361964,0.62594024536
0.21457181960689997,0.66747002078
0.2589750432309,0.71082047044
0.31077805050669993,0.7555500372799999
0.382697029381,0.8101501194599999
0.4725660792309999,0.8610701964999999
0.5836137032815,0.90377056092
0.7326855440591,0.9481304394199999
0.8997470208029,0.9840005531399998
1.15357,1.00003
