Y/DEL995,U/UE
0.0246179,0.37265
0.030652954644650003,0.384139985672
0.034951310833454,0.395309968302
0.04094293714043,0.403489971538
0.04441630846088,0.41674000532
0.05040798595034001,0.434569992426
0.055574729753930005,0.44203022416
0.05987303476025001,0.45888011957999997
0.06503977856384001,0.45894978096
0.0659080894049,0.46373005782
0.07020639441122001,0.48338021519999996
0.07367989368788001,0.4899101851
0.07797819869420002,0.4989002686
0.08227663165673,0.51289969566
0.08570662582199001,0.51615997376
0.10637334512393001,0.5674502044199999
0.13303174191533002,0.63114016072
0.1691981808032,0.70342984576
0.20619032111420002,0.7499002620199999
0.25694543137280007,0.78856985888
0.31204337539880006,0.81511021708
0.3937549315427001,0.84965033754
0.4643522112860001,0.8761298204799999
0.5813630470826,0.9118403776399999
0.720776456126,0.94984034664
0.9100787118863001,0.9861000363000001
1.0968167251982,0.9980698696400001
1.3041800000000001,1.00023
