Y/DEL995,U/UE
0.0180587,0.51992
0.0188853302218447,0.5231300069120001
0.019711962874172,0.5230799969784
0.022191845033017,0.535990005888
0.024639936479454,0.53798997116
0.02546656791654,0.5432900063520001
0.027946462227797998,0.55447999904
0.03042633223423,0.5585900119280001
0.03290627515514,0.5623700178240001
0.03370104296534,0.5605400008720001
0.03618098588625,0.57633996176
0.04031414307167999,0.5841201382400001
0.04358885380279,0.59129013304
0.047722010988219994,0.5961999112
0.05185516817364999,0.60483991096
0.052649935983849996,0.6076200542400001
0.057609821825669996,0.6126397707200001
0.07407877192326999,0.6397998166400001
0.08727301128975998,0.6566602262400001
0.11114995082802999,0.67581973896
0.13753842956100998,0.6965899200800001
0.17130305841259996,0.7180499761600001
0.21085430176239997,0.73787007896
0.26111911241299995,0.76161003496
0.31217990611509994,0.78654010928
0.3830479177658999,0.81770018176
0.4720060114084999,0.8515400608000001
0.6013733087586999,0.89812990448
0.7175151350409998,0.93690980672
0.8831270041636997,0.97857979056
1.1072381589857998,0.99884972832
1.2332999999999998,1.0
