%
% Basic inner-scaled statistics for turbulent flow in a circular pipe
%
% See the following reference for details
% 
% Pirozzoli, S., Romero, J., Fatica, M., Verzicco, R., & Orlandi, P. (2021). 
% One-point statistics for turbulent pipe flow up to $\Rey_{\tau} \approx 6000$
% arXiv preprint arXiv:2103.13383.
%
% The flow parameters are as follows:
%
%  N_z                         = 3072
%  N_r                         =  399
%  N_theta                     = 3072
%  Streamwise domain size      = 15 R
%  Bulk Reynolds number        = 82500
%  Friction Reynolds number    = 1976.0
%  Friction coefficient        = 0.01836
%
%  Flow variables
%  
%        y^+                  U_z^+               P^+                 u_z^2              u_r^2              u_t^2                u_z u_r              p^2
%
    0.2594846871E-01    0.2593739933E-01    0.2446856301E-07    0.1266121733E-03    0.3476701216E-09    0.5736634461E-04    0.8267221925E-07    0.7883830135E+01
    0.8772055748E-01    0.8768217263E-01    0.5723025026E-08    0.1415284874E-02    0.1328394698E-07    0.5978183873E-03    0.1219551241E-05    0.7881082328E+01
    0.1829829089E+00    0.1828979875E+00   -0.2357462160E-06    0.6125370555E-02    0.2053047892E-06    0.2499890096E-02    0.9722691215E-05    0.7877100879E+01
    0.3402217798E+00    0.3400476749E+00   -0.2507525057E-05    0.2108978453E-01    0.2179950829E-05    0.8270057413E-02    0.5925675032E-04    0.7871205553E+01
    0.5880730926E+00    0.5877115332E+00   -0.1905832245E-04    0.6273729528E-01    0.1726872554E-04    0.2328304472E-01    0.2944867357E-03    0.7863613782E+01
    0.9522470770E+00    0.9514099202E+00   -0.1106733637E-03    0.1635925216E+00    0.1032086981E-03    0.5615574264E-01    0.1212469435E-02    0.7856213658E+01
    0.1453632640E+01    0.1451296337E+01   -0.4980369805E-03    0.3781239392E+00    0.4732962797E-03    0.1169673301E+00    0.4187041437E-02    0.7853280147E+01
    0.2107369320E+01    0.2099931267E+01   -0.1776087703E-02    0.7828992571E+00    0.1708920804E-02    0.2134223359E+00    0.1225178877E-01    0.7861853255E+01
    0.2922721548E+01    0.2899116175E+01   -0.5156655167E-02    0.1460414448E+01    0.5003480376E-02    0.3469599867E+00    0.3061092467E-01    0.7891380459E+01
    0.3903541676E+01    0.3835430113E+01   -0.1253721565E-01    0.2455641094E+01    0.1223863853E-01    0.5118506462E+00    0.6579411003E-01    0.7952285646E+01
    0.5049097194E+01    0.4876560351E+01   -0.2623706405E-01    0.3719398361E+01    0.2573293623E-01    0.6981432647E+00    0.1228632915E+00    0.8053580621E+01
    0.6355058281E+01    0.5972853457E+01   -0.4848389100E-01    0.5091324726E+01    0.4773544036E-01    0.8957599285E+00    0.2020302002E+00    0.8200238809E+01
    0.7814493077E+01    0.7066578940E+01   -0.8090865672E-01    0.6359254348E+01    0.7991061864E-01    0.1096385863E+01    0.2974143867E+00    0.8391255525E+01
    0.9418766061E+01    0.8105356241E+01   -0.1242307061E+00    0.7354011355E+01    0.1230018418E+00    0.1292919493E+01    0.3992008916E+00    0.8618997890E+01
    0.1115829192E+02    0.9052589305E+01   -0.1781492635E+00    0.8004547866E+01    0.1767088344E+00    0.1478710022E+01    0.4975364133E+00    0.8870048332E+01
    0.1302312533E+02    0.9890567026E+01   -0.2414051614E+00    0.8329466320E+01    0.2397514623E+00    0.1647948011E+01    0.5854847261E+00    0.9127439089E+01
    0.1500339567E+02    0.1061728307E+02   -0.3119925801E+00    0.8396186852E+01    0.3100924950E+00    0.1796661884E+01    0.6598284407E+00    0.9373704587E+01
    0.1708960878E+02    0.1124071940E+02   -0.3874755056E+00    0.8283451869E+01    0.3852648758E+00    0.1923267398E+01    0.7202822354E+00    0.9593754909E+01
    0.1927283753E+02    0.1177361163E+02   -0.4653238416E+00    0.8060419542E+01    0.4627138291E+00    0.2028319216E+01    0.7682307218E+00    0.9776723594E+01
    0.2154483013E+02    0.1222988220E+02   -0.5431878204E+00    0.7779587317E+01    0.5400731829E+00    0.2113787853E+01    0.8056996951E+00    0.9916504251E+01
    0.2389805589E+02    0.1262267822E+02   -0.6190756396E+00    0.7477154560E+01    0.6153418381E+00    0.2182255926E+01    0.8347474883E+00    0.1001127166E+02
    0.2632570906E+02    0.1296351695E+02   -0.6914368421E+00    0.7176211465E+01    0.6869653940E+00    0.2236333597E+01    0.8571898551E+00    0.1006248954E+02
    0.2882168283E+02    0.1326207054E+02   -0.7591740268E+00    0.6890318647E+01    0.7538463615E+00    0.2278355642E+01    0.8745174419E+00    0.1007383563E+02
    0.3138052814E+02    0.1352626220E+02   -0.8216070613E+00    0.6626518021E+01    0.8153068334E+00    0.2310267186E+01    0.8879064008E+00    0.1005027843E+02
    0.3399740054E+02    0.1376248675E+02   -0.8784053176E+00    0.6387703650E+01    0.8710206823E+00    0.2333688090E+01    0.8982667706E+00    0.9997338445E+01
    0.3666800561E+02    0.1397585688E+02   -0.9295130845E+00    0.6174295282E+01    0.9209387468E+00    0.2349982257E+01    0.9062974847E+00    0.9920561532E+01
    0.3938854259E+02    0.1417043988E+02   -0.9750836150E+00    0.5985186713E+01    0.9652216359E+00    0.2360262488E+01    0.9125323702E+00    0.9825200122E+01
    0.4215564964E+02    0.1434947064E+02   -0.1015415457E+01    0.5818480353E+01    0.1004176019E+01    0.2365443505E+01    0.9173766227E+00    0.9715970890E+01
    0.4496635461E+02    0.1451552080E+02   -0.1050895162E+01    0.5672015610E+01    0.1038197386E+01    0.2366317470E+01    0.9211350367E+00    0.9596906148E+01
    0.4781802896E+02    0.1467064105E+02   -0.1081954476E+01    0.5543565738E+01    0.1067726763E+01    0.2363563077E+01    0.9240344208E+00    0.9471368917E+01
    0.5070834468E+02    0.1481647307E+02   -0.1109042036E+01    0.5430959473E+01    0.1093221895E+01    0.2357754862E+01    0.9262454553E+00    0.9342154466E+01
    0.5363523828E+02    0.1495433525E+02   -0.1132603155E+01    0.5332198115E+01    0.1115137030E+01    0.2349412695E+01    0.9279018599E+00    0.9211547097E+01
    0.5659687759E+02    0.1508529371E+02   -0.1153063702E+01    0.5245510380E+01    0.1133906796E+01    0.2339020431E+01    0.9291105686E+00    0.9081336669E+01
    0.5959163210E+02    0.1521021648E+02   -0.1170819733E+01    0.5169296650E+01    0.1149935316E+01    0.2326994519E+01    0.9299543462E+00    0.8952872773E+01
    0.6261804828E+02    0.1532981840E+02   -0.1186230472E+01    0.5102127136E+01    0.1163589049E+01    0.2313673907E+01    0.9304969273E+00    0.8827135395E+01
    0.6567482676E+02    0.1544469259E+02   -0.1199614225E+01    0.5042792325E+01    0.1175192938E+01    0.2299371163E+01    0.9307889262E+00    0.8704798805E+01
    0.6876080306E+02    0.1555533049E+02   -0.1211249161E+01    0.4990268988E+01    0.1185031115E+01    0.2284366036E+01    0.9308702070E+00    0.8586298403E+01
    0.7187493050E+02    0.1566214446E+02   -0.1221378030E+01    0.4943661471E+01    0.1193351533E+01    0.2268876148E+01    0.9307709038E+00    0.8471863448E+01
    0.7501626601E+02    0.1576549252E+02   -0.1230212863E+01    0.4902143784E+01    0.1200370673E+01    0.2253066096E+01    0.9305140153E+00    0.8361587991E+01
    0.7818395707E+02    0.1586568374E+02   -0.1237937041E+01    0.4864995908E+01    0.1206275880E+01    0.2237073657E+01    0.9301200508E+00    0.8255498801E+01
    0.8137723044E+02    0.1596297779E+02   -0.1244707935E+01    0.4831612133E+01    0.1211227909E+01    0.2221022393E+01    0.9296071457E+00    0.8153565597E+01
    0.8459538327E+02    0.1605759643E+02   -0.1250660736E+01    0.4801480694E+01    0.1215364778E+01    0.2205030170E+01    0.9289908354E+00    0.8055696031E+01
    0.8783777380E+02    0.1614973457E+02   -0.1255911511E+01    0.4774194513E+01    0.1218804952E+01    0.2189207182E+01    0.9282874869E+00    0.7961736731E+01
    0.9110381443E+02    0.1623956393E+02   -0.1260559642E+01    0.4749403750E+01    0.1221649739E+01    0.2173636976E+01    0.9275129884E+00    0.7871495627E+01
    0.9439296621E+02    0.1632723638E+02   -0.1264688822E+01    0.4726763658E+01    0.1223984390E+01    0.2158361478E+01    0.9266789829E+00    0.7784773409E+01
    0.9770473211E+02    0.1641288618E+02   -0.1268367790E+01    0.4705940451E+01    0.1225878955E+01    0.2143393993E+01    0.9257926450E+00    0.7701371953E+01
    0.1010386530E+03    0.1649662992E+02   -0.1271652557E+01    0.4686661215E+01    0.1227390464E+01    0.2128745670E+01    0.9248561403E+00    0.7621097137E+01
    0.1043943031E+03    0.1657857192E+02   -0.1274590544E+01    0.4668727722E+01    0.1228567206E+01    0.2114435858E+01    0.9238681142E+00    0.7543772164E+01
    0.1077712868E+03    0.1665881019E+02   -0.1277226282E+01    0.4651975817E+01    0.1229454216E+01    0.2100470075E+01    0.9228290981E+00    0.7469229624E+01
    0.1111692345E+03    0.1673743346E+02   -0.1279602034E+01    0.4636232259E+01    0.1230093945E+01    0.2086833876E+01    0.9217417044E+00    0.7397292491E+01
    0.1145878014E+03    0.1681451990E+02   -0.1281754162E+01    0.4621336758E+01    0.1230523037E+01    0.2073511002E+01    0.9206060488E+00    0.7327767615E+01
    0.1180266631E+03    0.1689014139E+02   -0.1283712693E+01    0.4607167146E+01    0.1230771773E+01    0.2060496473E+01    0.9194208768E+00    0.7260454252E+01
    0.1214855153E+03    0.1696436389E+02   -0.1285502642E+01    0.4593640936E+01    0.1230865349E+01    0.2047786865E+01    0.9181887807E+00    0.7195163582E+01
    0.1249640704E+03    0.1703724819E+02   -0.1287144166E+01    0.4580690397E+01    0.1230823958E+01    0.2035369126E+01    0.9169165829E+00    0.7131747743E+01
    0.1284620567E+03    0.1710885122E+02   -0.1288652175E+01    0.4568266238E+01    0.1230662613E+01    0.2023237538E+01    0.9156121356E+00    0.7070099893E+01
    0.1319792166E+03    0.1717922709E+02   -0.1290037956E+01    0.4556309063E+01    0.1230392607E+01    0.2011399936E+01    0.9142812346E+00    0.7010126730E+01
    0.1355153055E+03    0.1724842900E+02   -0.1291311528E+01    0.4544722395E+01    0.1230023791E+01    0.1999857756E+01    0.9129251435E+00    0.6951732603E+01
    0.1390700903E+03    0.1731650806E+02   -0.1292483520E+01    0.4533417943E+01    0.1229566622E+01    0.1988600847E+01    0.9115417004E+00    0.6894832090E+01
    0.1426433488E+03    0.1738350981E+02   -0.1293566138E+01    0.4522335046E+01    0.1229033027E+01    0.1977610672E+01    0.9101308288E+00    0.6839353874E+01
    0.1462348685E+03    0.1744946908E+02   -0.1294571190E+01    0.4511446650E+01    0.1228434587E+01    0.1966865029E+01    0.9086980618E+00    0.6785211885E+01
    0.1498444455E+03    0.1751441202E+02   -0.1295507648E+01    0.4500749882E+01    0.1227780160E+01    0.1956358427E+01    0.9072503290E+00    0.6732300640E+01
    0.1534718846E+03    0.1757836554E+02   -0.1296381833E+01    0.4490218149E+01    0.1227075898E+01    0.1946091116E+01    0.9057885503E+00    0.6680526994E+01
    0.1571169980E+03    0.1764136386E+02   -0.1297198767E+01    0.4479804981E+01    0.1226326609E+01    0.1936051021E+01    0.9043081640E+00    0.6629820391E+01
    0.1607796046E+03    0.1770344210E+02   -0.1297962441E+01    0.4469490058E+01    0.1225536031E+01    0.1926217218E+01    0.9028064775E+00    0.6580118591E+01
