%
% Basic inner-scaled statistics for turbulent flow in a circular pipe
%
% See the following reference for details
% 
% Pirozzoli, S., Romero, J., Fatica, M., Verzicco, R., & Orlandi, P. (2021). 
% One-point statistics for turbulent pipe flow up to $\Rey_{\tau} \approx 6000$
% arXiv preprint arXiv:2103.13383.
%
% The flow parameters are as follows:
%
%  N_z                         = 1792
%  N_r                         =  140
%  N_theta                     =  768
%  Streamwise domain size      = 15 R
%  Bulk Reynolds number        = 44000
%  Friction Reynolds number    = 1136.6
%  Friction factor             = 0.02136
%
%  Flow variables
%  
%        y^+                  U_z^+               P^+                 u_z^2              u_r^2              u_t^2                u_z u_r              p^2
%
    0.4916063335E+02    0.1480781692E+02   -0.1078539285E+01    0.4898010925E+01    0.1048952413E+01    0.2140514434E+01    0.9058429448E+00    0.8284699547E+01
    0.5199819276E+02    0.1494613597E+02   -0.1103108587E+01    0.4783526661E+01    0.1071158648E+01    0.2131093443E+01    0.9065758443E+00    0.8157859191E+01
    0.5486943742E+02    0.1507737796E+02   -0.1124472257E+01    0.4681904859E+01    0.1090114700E+01    0.2119748639E+01    0.9068331253E+00    0.8030175093E+01
    0.5777278666E+02    0.1520247607E+02   -0.1143015177E+01    0.4591464669E+01    0.1106213858E+01    0.2106820330E+01    0.9067090323E+00    0.7903164491E+01
    0.6070683110E+02    0.1532218937E+02   -0.1159090054E+01    0.4510746994E+01    0.1119816929E+01    0.2092590972E+01    0.9062752932E+00    0.7778053196E+01
    0.6367031108E+02    0.1543713278E+02   -0.1173018658E+01    0.4438515669E+01    0.1131252877E+01    0.2077329019E+01    0.9055822083E+00    0.7655757767E+01
    0.6666209772E+02    0.1554781550E+02   -0.1185089687E+01    0.4373706916E+01    0.1140816931E+01    0.2061271264E+01    0.9046621124E+00    0.7536845190E+01
    0.6968117627E+02    0.1565467142E+02   -0.1195554147E+01    0.4315369318E+01    0.1148766320E+01    0.2044656226E+01    0.9035387984E+00    0.7421602307E+01
    0.7272663259E+02    0.1575806634E+02   -0.1204627847E+01    0.4262665078E+01    0.1155322354E+01    0.2027713535E+01    0.9022357681E+00    0.7310160749E+01
    0.7579763991E+02    0.1585831288E+02   -0.1212498586E+01    0.4214842177E+01    0.1160677469E+01    0.2010641998E+01    0.9007748485E+00    0.7202580426E+01
    0.7889344888E+02    0.1595568888E+02   -0.1219330945E+01    0.4171220559E+01    0.1165000060E+01    0.1993623305E+01    0.8991739003E+00    0.7098865259E+01
    0.8201337765E+02    0.1605043763E+02   -0.1225268091E+01    0.4131220430E+01    0.1168436439E+01    0.1976798358E+01    0.8974481091E+00    0.6998987648E+01
    0.8515680441E+02    0.1614276191E+02   -0.1230434461E+01    0.4094361416E+01    0.1171113487E+01    0.1960241529E+01    0.8956127623E+00    0.6902895057E+01
    0.8832315971E+02    0.1623282915E+02   -0.1234937227E+01    0.4060292163E+01    0.1173140421E+01    0.1943992874E+01    0.8936857651E+00    0.6810493816E+01
    0.9151192050E+02    0.1632078719E+02   -0.1238868174E+01    0.4028742463E+01    0.1174610972E+01    0.1928076220E+01    0.8916853226E+00    0.6721657467E+01
    0.9472260532E+02    0.1640677098E+02   -0.1242308851E+01    0.3999404673E+01    0.1175608077E+01    0.1912466119E+01    0.8896250904E+00    0.6636238453E+01
    0.9795476875E+02    0.1649090007E+02   -0.1245330527E+01    0.3971937562E+01    0.1176204242E+01    0.1897135688E+01    0.8875107774E+00    0.6554052981E+01
    0.1012079983E+03    0.1657328043E+02   -0.1247991016E+01    0.3946059230E+01    0.1176458478E+01    0.1882099085E+01    0.8853400646E+00    0.6474902039E+01
    0.1044819102E+03    0.1665400875E+02   -0.1250334915E+01    0.3921595088E+01    0.1176416339E+01    0.1867399769E+01    0.8831081481E+00    0.6398582249E+01
    0.1077761465E+03    0.1673317421E+02   -0.1252395912E+01    0.3898386269E+01    0.1176112166E+01    0.1853085898E+01    0.8808142493E+00    0.6324868216E+01
    0.1110903723E+03    0.1681085847E+02   -0.1254200703E+01    0.3876265539E+01    0.1175572963E+01    0.1839186362E+01    0.8784612063E+00    0.6253520456E+01
    0.1144242739E+03    0.1688713739E+02   -0.1255773681E+01    0.3855068817E+01    0.1174822872E+01    0.1825694738E+01    0.8760524703E+00    0.6184326543E+01
    0.1177775555E+03    0.1696208068E+02   -0.1257137211E+01    0.3834671954E+01    0.1173883732E+01    0.1812587040E+01    0.8735941607E+00    0.6117126141E+01
    0.1211499387E+03    0.1703575106E+02   -0.1258309793E+01    0.3815007908E+01    0.1172773778E+01    0.1799838918E+01    0.8710944033E+00    0.6051800330E+01
    0.1245411600E+03    0.1710820673E+02   -0.1259308373E+01    0.3796003994E+01    0.1171509720E+01    0.1787433408E+01    0.8685585212E+00    0.5988247598E+01
    0.1279509698E+03    0.1717950203E+02   -0.1260150429E+01    0.3777572744E+01    0.1170108788E+01    0.1775373648E+01    0.8659883684E+00    0.5926378452E+01
    0.1313791309E+03    0.1724968872E+02   -0.1260853422E+01    0.3759621729E+01    0.1168588136E+01    0.1763657405E+01    0.8633834300E+00    0.5866120721E+01
    0.1348254172E+03    0.1731881065E+02   -0.1261434322E+01    0.3742092287E+01    0.1166964146E+01    0.1752259178E+01    0.8607420151E+00    0.5807405245E+01
    0.1382896134E+03    0.1738689813E+02   -0.1261909219E+01    0.3724964290E+01    0.1165252379E+01    0.1741146901E+01    0.8580647152E+00    0.5750148656E+01
    0.1417715132E+03    0.1745397821E+02   -0.1262293447E+01    0.3708191943E+01    0.1163467822E+01    0.1730302890E+01    0.8553543553E+00    0.5694263060E+01
    0.1452709194E+03    0.1752008564E+02   -0.1262601281E+01    0.3691698764E+01    0.1161624332E+01    0.1719709583E+01    0.8526141565E+00    0.5639662511E+01
    0.1487876424E+03    0.1758525676E+02   -0.1262843302E+01    0.3675439163E+01    0.1159732060E+01    0.1709341956E+01    0.8498501552E+00    0.5586263458E+01
    0.1523215003E+03    0.1764952661E+02   -0.1263024335E+01    0.3659396365E+01    0.1157795527E+01    0.1699183931E+01    0.8470691683E+00    0.5533997971E+01
    0.1558723173E+03    0.1771293032E+02   -0.1263145484E+01    0.3643532197E+01    0.1155815427E+01    0.1689217644E+01    0.8442724405E+00    0.5482812054E+01
    0.1594399248E+03    0.1777549706E+02   -0.1263207290E+01    0.3627797888E+01    0.1153791876E+01    0.1679411063E+01    0.8414556583E+00    0.5432649081E+01
    0.1630241592E+03    0.1783724983E+02   -0.1263210658E+01    0.3612141436E+01    0.1151725522E+01    0.1669740566E+01    0.8386122753E+00    0.5383453051E+01
    0.1666248627E+03    0.1789821224E+02   -0.1263156644E+01    0.3596494034E+01    0.1149617145E+01    0.1660208124E+01    0.8357340428E+00    0.5335172811E+01
    0.1702418824E+03    0.1795841015E+02   -0.1263046646E+01    0.3580795749E+01    0.1147467753E+01    0.1650813443E+01    0.8328138588E+00    0.5287749135E+01
    0.1738750699E+03    0.1801786731E+02   -0.1262882897E+01    0.3565032232E+01    0.1145279303E+01    0.1641552389E+01    0.8298522081E+00    0.5241111386E+01
    0.1775242817E+03    0.1807660723E+02   -0.1262669161E+01    0.3549201535E+01    0.1143055322E+01    0.1632430382E+01    0.8268578966E+00    0.5195211370E+01
    0.1811893779E+03    0.1813465657E+02   -0.1262409863E+01    0.3533289357E+01    0.1140799852E+01    0.1623453975E+01    0.8238407896E+00    0.5150040766E+01
    0.1848702227E+03    0.1819204059E+02   -0.1262108089E+01    0.3517282486E+01    0.1138515517E+01    0.1614632691E+01    0.8208056733E+00    0.5105599668E+01
    0.1885666840E+03    0.1824877718E+02   -0.1261764870E+01    0.3501207174E+01    0.1136202774E+01    0.1605968115E+01    0.8177531991E+00    0.5061868818E+01
    0.1922786328E+03    0.1830487826E+02   -0.1261378670E+01    0.3485116568E+01    0.1133859516E+01    0.1597469162E+01    0.8146841759E+00    0.5018800541E+01
    0.1960059436E+03    0.1836035397E+02   -0.1260945736E+01    0.3469051339E+01    0.1131481487E+01    0.1589134103E+01    0.8116020822E+00    0.4976337375E+01
    0.1997484942E+03    0.1841521573E+02   -0.1260462824E+01    0.3453028311E+01    0.1129064856E+01    0.1580935304E+01    0.8085104975E+00    0.4934437985E+01
    0.2035061646E+03    0.1846948013E+02   -0.1259930180E+01    0.3437025307E+01    0.1126609303E+01    0.1572846697E+01    0.8054078395E+00    0.4893095614E+01
    0.2072788382E+03    0.1852316770E+02   -0.1259351600E+01    0.3421001648E+01    0.1124118299E+01    0.1564875295E+01    0.8022876704E+00    0.4852322238E+01
    0.2110664007E+03    0.1857630067E+02   -0.1258732743E+01    0.3404932795E+01    0.1121597364E+01    0.1557049596E+01    0.7991438845E+00    0.4812118383E+01
    0.2148687405E+03    0.1862890052E+02   -0.1258080547E+01    0.3388797182E+01    0.1119053065E+01    0.1549363269E+01    0.7959748056E+00    0.4772477936E+01
    0.2186857482E+03    0.1868098070E+02   -0.1257400908E+01    0.3372569874E+01    0.1116490828E+01    0.1541785505E+01    0.7927849374E+00    0.4733393798E+01
