%
% Basic inner-scaled statistics for turbulent flow in a circular pipe
%
% See the following reference for details
% 
% Pirozzoli, S., Romero, J., Fatica, M., Verzicco, R., & Orlandi, P. (2021). 
% One-point statistics for turbulent pipe flow up to $\Rey_{\tau} \approx 6000$
% arXiv preprint arXiv:2103.13383.
%
% The flow parameters are as follows:
%
%  N_z                         = 256
%  N_r                         =  67
%  N_theta                     = 256
%  Streamwise domain size      = 15 R
%  Bulk Reynolds number        = 5300
%  Friction Reynolds number    = 180.3
%  Friction coefficient        = 0.03700
%
%  Flow variables
%  
%        y^+                  U_z^+               P^+                 u_z^2              u_r^2              u_t^2                u_z u_r              p^2
%
    0.2716720919E-01    0.2713677173E-01    0.3636246080E-07    0.8840618063E-04    0.1326772130E-09    0.2491864175E-04    0.5821841046E-07    0.2803160386E+01
    0.9184102700E-01    0.9172178861E-01   -0.9722024609E-08    0.1009491974E-02    0.5791687033E-08    0.2804810783E-03    0.8480220322E-06    0.2801921204E+01
    0.1915778748E+00    0.1912764284E+00   -0.4469946486E-06    0.4388012821E-02    0.9570650306E-07    0.1193369653E-02    0.6719920355E-05    0.2800132002E+01
    0.3562024277E+00    0.3554787277E+00   -0.3477916500E-05    0.1514740824E-01    0.1048282019E-05    0.3977359678E-02    0.4073576691E-04    0.2797500436E+01
    0.6156957699E+00    0.6139881945E+00   -0.2071453774E-04    0.4517388263E-01    0.8451451937E-05    0.1122745548E-01    0.2016308516E-03    0.2794161211E+01
    0.9969755725E+00    0.9930475742E+00   -0.1005832097E-03    0.1181983582E+00    0.5123062403E-04    0.2713178558E-01    0.8294706413E-03    0.2791035694E+01
    0.1521911866E+01    0.1513091864E+01   -0.4011759368E-03    0.2745786650E+00    0.2386797662E-03    0.5668441878E-01    0.2876213811E-02    0.2790150738E+01
    0.2206355552E+01    0.2186745042E+01   -0.1326522253E-02    0.5728717271E+00    0.8787359583E-03    0.1038439457E+00    0.8508242768E-02    0.2794782349E+01
    0.3060006169E+01    0.3016341415E+01   -0.3690493466E-02    0.1081198626E+01    0.2634029194E-02    0.1696055494E+00    0.2165744134E-01    0.2809267145E+01
    0.4086896944E+01    0.3990351591E+01   -0.8800496965E-02    0.1848421770E+01    0.6620245628E-02    0.2514621891E+00    0.4775467845E-01    0.2838374851E+01
    0.5286260838E+01    0.5079785061E+01   -0.1835708901E-01    0.2857535155E+01    0.1434229429E-01    0.3448572413E+00    0.9189500992E-01    0.2886297666E+01
    0.6653565000E+01    0.6238061750E+01   -0.3418030647E-01    0.3995675199E+01    0.2745935554E-01    0.4453325611E+00    0.1559119775E+00    0.2955520560E+01
    0.8181551580E+01    0.7407667264E+01   -0.5788230479E-01    0.5083153718E+01    0.4747496285E-01    0.5493121558E+00    0.2364044919E+00    0.3045940121E+01
    0.9861179726E+01    0.8532328952E+01   -0.9059069037E-01    0.5951221559E+01    0.7545632237E-01    0.6532157019E+00    0.3255128492E+00    0.3154483504E+01
    0.1168241378E+02    0.9568698556E+01   -0.1327467057E+00    0.6506936967E+01    0.1118288856E+00    0.7525959518E+00    0.4139681500E+00    0.3275312143E+01
    0.1363484110E+02    0.1049202984E+02   -0.1839783802E+00    0.6744707487E+01    0.1562593840E+00    0.8426675888E+00    0.4942045747E+00    0.3400559000E+01
    0.1570812777E+02    0.1129506468E+02   -0.2430830111E+00    0.6717780998E+01    0.2076490769E+00    0.9198247486E+00    0.5618531561E+00    0.3521351853E+01
    0.1789233339E+02    0.1198305893E+02   -0.3081552579E+00    0.6502299353E+01    0.2642549424E+00    0.9827919525E+00    0.6155574558E+00    0.3629049129E+01
