%
% Basic inner-scaled statistics for turbulent flow in a circular pipe
%
% See the following reference for details
% 
% Pirozzoli, S., Romero, J., Fatica, M., Verzicco, R., & Orlandi, P. (2021). 
% One-point statistics for turbulent pipe flow up to $\Rey_{\tau} \approx 6000$
% arXiv preprint arXiv:2103.13383.
%
% The flow parameters are as follows:
%
%  N_z                         = 9216
%  N_r                         =  910
%  N_theta                     = 9216
%  Streamwise domain size      = 15 R
%  Bulk Reynolds number        = 285000
%  Friction Reynolds number    = 6019.48
%  Friction coefficient        = 0.01428
%
%  Flow variables
%  
%        y^+                  U_z^+               P^+                 u_z^2              u_r^2              u_t^2                u_z u_r              p^2
%
    0.2628200764E-01    0.2625531064E-01    0.2429616772E-07    0.1412740470E-03    0.3864630413E-09    0.6310179629E-04    0.9099752286E-07    0.1027859557E+02
    0.8884849925E-01    0.8875780754E-01    0.8566629059E-08    0.1585153192E-02    0.1497549316E-07    0.6644289369E-03    0.1339703751E-05    0.1027561191E+02
    0.1853350452E+00    0.1851446338E+00   -0.2187902321E-06    0.6863991933E-02    0.2327885350E-06    0.2784049839E-02    0.1067393610E-04    0.1027129499E+02
    0.3445951509E+00    0.3442335610E+00   -0.2518248359E-05    0.2363598580E-01    0.2474226252E-05    0.9218430473E-02    0.6503804274E-04    0.1026492025E+02
    0.5956322055E+00    0.5949685911E+00   -0.1994684147E-04    0.7030997947E-01    0.1957324036E-04    0.2596435685E-01    0.3230833575E-03    0.1025675885E+02
    0.9644874397E+00    0.9632009215E+00   -0.1183921142E-03    0.1833064913E+00    0.1166206101E-03    0.6264102347E-01    0.1328966894E-02    0.1024893025E+02
    0.1472317924E+01    0.1469321558E+01   -0.5383820225E-03    0.4234789657E+00    0.5323896824E-03    0.1305658126E+00    0.4579766020E-02    0.1024618879E+02
    0.2134458139E+01    0.2125896915E+01   -0.1926820084E-02    0.8757107995E+00    0.1911329041E-02    0.2385730679E+00    0.1334829487E-01    0.1025632448E+02
    0.2960291165E+01    0.2934239032E+01   -0.5590009432E-02    0.1629368415E+01    0.5559002905E-02    0.3887947235E+00    0.3314793965E-01    0.1028972402E+02
    0.3953718789E+01    0.3879666201E+01   -0.1354468557E-01    0.2728312709E+01    0.1349969176E-01    0.5756389247E+00    0.7067965738E-01    0.1035771678E+02
    0.5114000023E+01    0.4927915346E+01   -0.2820853744E-01    0.4109709630E+01    0.2817599040E-01    0.7887029909E+00    0.1307766816E+00    0.1046987022E+02
    0.6436747909E+01    0.6027404841E+01   -0.5184276389E-01    0.5591907617E+01    0.5189304625E-01    0.1016736323E+01    0.2129988824E+00    0.1063109019E+02
    0.7914942596E+01    0.7119461801E+01   -0.8603006951E-01    0.6945980493E+01    0.8628110671E-01    0.1249514982E+01    0.3107294885E+00    0.1083957910E+02
    0.9539837861E+01    0.8152169809E+01   -0.1313684765E+00    0.7998272190E+01    0.1319653305E+00    0.1477722853E+01    0.4137509257E+00    0.1108630164E+02
    0.1130172377E+02    0.9090390835E+01   -0.1873863993E+00    0.8683353800E+01    0.1884681179E+00    0.1692883255E+01    0.5122758873E+00    0.1135614347E+02
    0.1319052863E+02    0.9918092491E+01   -0.2526377840E+00    0.9028843374E+01    0.2543092072E+00    0.1888198889E+01    0.5997252362E+00    0.1163056282E+02
    0.1519625357E+02    0.1063461009E+02   -0.3249499636E+00    0.9109772940E+01    0.3272674902E+00    0.2059530416E+01    0.6732766974E+00    0.1189098397E+02
    0.1730928376E+02    0.1124875556E+02   -0.4017674922E+00    0.9009605148E+01    0.4047379019E+00    0.2205633948E+01    0.7329329594E+00    0.1212181754E+02
    0.1952057624E+02    0.1177365525E+02   -0.4804981567E+00    0.8799756338E+01    0.4840855231E+00    0.2327575722E+01    0.7802372574E+00    0.1231222965E+02
