  2.000  0.3352  9.375E+01  18.40  99.000  0.008  7.19E-03  2.27E-03  1.66E-03
  3.000  0.3847  1.406E+02  21.11  99.000  0.014  8.08E-03  2.71E-03  2.03E-03
  4.000  0.4397  1.875E+02  24.13  99.000  0.017  8.27E-03  2.50E-03  1.87E-03
  6.000  0.5232  2.812E+02  28.71  99.000  0.031  8.05E-03  2.15E-03  1.66E-03
  8.000  0.5987  3.750E+02  32.86  99.000  0.045  7.04E-03  1.78E-03  1.49E-03
 10.000  0.6574  4.687E+02  36.08  99.000  0.059  5.43E-03  1.52E-03  1.25E-03
 15.000  0.7770  7.031E+02  42.64  99.000  0.092  2.51E-03  7.01E-04  5.52E-04
 20.000  0.8327  9.375E+02  45.70  99.000  0.121  3.35E-04  1.87E-04  7.76E-05
 25.000  0.8383  1.172E+03  46.01  -0.004  0.146  2.28E-05  2.49E-05  3.75E-06
 30.000  0.8367  1.406E+03  45.92  -0.009  0.171  1.39E-05  1.19E-05  6.53E-07
 35.000  0.8346  1.641E+03  45.80  -0.017  0.200  1.14E-05  1.19E-05  9.43E-07
 40.000  0.8371  1.875E+03  45.94  -0.035  0.233  1.42E-05  1.48E-05  2.09E-06
