  1.200  0.2466  5.547E+01  13.72  99.000  -.001  2.98E-03  6.51E-04  4.99E-04
  2.000  0.2672  9.246E+01  14.87  99.000  -.001  3.26E-03  8.72E-04  5.80E-04
  3.000  0.2782  1.387E+02  15.48  99.000  0.000  3.56E-03  1.17E-03  7.92E-04
  4.000  0.2961  1.849E+02  16.48  99.000  -.002  3.98E-03  1.42E-03  1.03E-03
  6.000  0.3299  2.774E+02  18.36  99.000  -.004  4.83E-03  1.89E-03  1.50E-03
  8.000  0.3636  3.698E+02  20.23  99.000  -.004  5.53E-03  2.13E-03  1.70E-03
 10.000  0.4056  4.623E+02  22.57  99.000  -.007  5.92E-03  2.25E-03  1.92E-03
 15.000  0.5147  6.934E+02  28.64  99.000  -.008  6.22E-03  2.15E-03  2.06E-03
 20.000  0.6225  9.246E+02  34.64  99.000  -.006  4.03E-03  1.28E-03  1.26E-03
 25.000  0.7072  1.156E+03  39.36  99.000  -.006  8.08E-04  5.09E-04  3.15E-04
 30.000  0.7192  1.387E+03  40.02  99.000  -.004  1.24E-04  1.18E-04  4.01E-05
 35.000  0.7199  1.618E+03  40.06  -0.007  -.003  5.02E-05  4.52E-05  1.17E-05
 40.000  0.7193  1.849E+03  40.03  -0.006  -.003  3.07E-05  2.26E-05  4.72E-06
