  1.200  0.5457  1.027E+02  16.41  99.000  0.001  6.50E-03  2.12E-03  1.88E-03
  2.000  0.6094  1.711E+02  18.32  99.000  0.004  6.37E-03  1.87E-03  1.72E-03
  3.000  0.6645  2.567E+02  19.98  99.000  0.009  6.41E-03  1.65E-03  1.61E-03
  4.000  0.7116  3.423E+02  21.39  99.000  0.010  5.77E-03  1.65E-03  1.60E-03
  6.000  0.7852  5.134E+02  23.61  99.000  0.021  4.47E-03  1.41E-03  1.25E-03
  8.000  0.8461  6.846E+02  25.44  99.000  0.026  3.43E-03  1.11E-03  9.99E-04
 10.000  0.8922  8.557E+02  26.82  99.000  0.037  2.26E-03  8.25E-04  7.08E-04
 15.000  0.9664  1.284E+03  29.05  99.000  0.057  2.52E-04  1.64E-04  7.81E-05
 20.000  0.9791  1.711E+03  29.43  -0.031  0.073  2.90E-05  2.21E-05  6.27E-06
 25.000  0.9873  2.139E+03  29.68  -0.049  0.088  1.80E-05  1.32E-05  1.47E-06
 30.000  0.9951  2.567E+03  29.92  -0.069  0.108  1.78E-05  1.78E-05  3.01E-06
 35.000  1.0087  2.995E+03  30.32  -0.101  0.130  1.86E-05  3.03E-05  3.44E-06
 40.000  1.0270  3.423E+03  30.87  -0.145  0.155  2.72E-05  5.89E-05  1.55E-05
