# 2-D converging-diverging channel, Re=12600
# Data from J.-P. Laval, LML
#
#  X	: Streamwise coordinates
#  Y0	: Normal coordinates of the lower wall
#  Y1	: Normal coordinates of the upper wall 
#  Utau0: Friction velocity at the lower wall
#  Utau1: Friction velocity at the upper wall
#  Cp0	: Pressure coefficient at the lower wall
#  Cp1	: Pressure coefficient at the upper wall
#  Cf0	: Skin friction coefficient at the lower wall
#  Cf1	: Skin friction coefficient at the upper wall
#
#  Y1 =  2
#  Re =  12600
#  Uo =  max(U(x=0,y)) = 1.00717
#  Po =  P(x=0,y=1)
#  Cf = (1/Re*(dU/dy))/(0.5*Uo^2)
#  Cp = (P-Po)/(0.5*Uo^2)
#  Nx = 2304
#
# Date File Created: January 6, 2009
#
#       X           Y0            Utau0          Utau1           Cp0             Cp1            Cf0            Cf1
# variables="x","y0","Utau0","Utau1","Cp0","Cp1","Cf0","Cf1"
# zone,t="DNS"
  3.43532E-01    0.00000E+00    4.91179E-02    4.93604E-02    2.03504E-02    3.80051E-04    4.89460E-03    4.94305E-03
  3.51712E-01    0.00000E+00    4.90960E-02    4.93603E-02    2.02831E-02    2.39409E-04    4.89023E-03    4.94304E-03
  3.59891E-01    0.00000E+00    4.90769E-02    4.93619E-02    2.02066E-02    8.69886E-05    4.88643E-03    4.94336E-03
  3.68071E-01    0.00000E+00    4.90552E-02    4.93619E-02    2.01445E-02   -5.38964E-05    4.88211E-03    4.94336E-03
  3.76250E-01    0.00000E+00    4.90359E-02    4.93639E-02    2.00727E-02   -2.05549E-04    4.87828E-03    4.94375E-03
  3.84430E-01    0.00000E+00    4.90137E-02    4.93647E-02    2.00139E-02   -3.46750E-04    4.87386E-03    4.94392E-03
  3.92609E-01    0.00000E+00    4.89935E-02    4.93666E-02    1.99469E-02   -4.98781E-04    4.86984E-03    4.94430E-03
  4.00788E-01    0.00000E+00    4.89711E-02    4.93666E-02    1.98929E-02   -6.40874E-04    4.86539E-03    4.94430E-03
  4.08968E-01    0.00000E+00    4.89507E-02    4.93682E-02    1.98311E-02   -7.92773E-04    4.86134E-03    4.94462E-03
  4.17147E-01    0.00000E+00    4.89281E-02    4.93682E-02    1.97813E-02   -9.35273E-04    4.85686E-03    4.94462E-03
  4.25327E-01    0.00000E+00    4.89073E-02    4.93699E-02    1.97244E-02   -1.08701E-03    4.85271E-03    4.94495E-03
  4.33506E-01    0.00000E+00    4.88839E-02    4.93699E-02    1.96789E-02   -1.23007E-03    4.84808E-03    4.94495E-03
  4.41685E-01    0.00000E+00    4.88621E-02    4.93715E-02    1.96268E-02   -1.38221E-03    4.84375E-03    4.94527E-03
  4.49865E-01    0.00000E+00    4.88395E-02    4.93714E-02    1.95862E-02   -1.52620E-03    4.83927E-03    4.94524E-03
  4.58044E-01    0.00000E+00    4.88184E-02    4.93726E-02    1.95397E-02   -1.67818E-03    4.83509E-03    4.94549E-03
  4.66224E-01    0.00000E+00    4.87951E-02    4.93728E-02    1.95032E-02   -1.82223E-03    4.83048E-03    4.94554E-03
  4.74403E-01    0.00000E+00    4.87739E-02    4.93741E-02    1.94612E-02   -1.97401E-03    4.82629E-03    4.94579E-03
  4.82582E-01    0.00000E+00    4.87505E-02    4.93742E-02    1.94292E-02   -2.11865E-03    4.82166E-03    4.94581E-03
  4.90762E-01    0.00000E+00    4.87294E-02    4.93749E-02    1.93922E-02   -2.27042E-03    4.81748E-03    4.94595E-03
  4.98941E-01    0.00000E+00    4.87060E-02    4.93757E-02    1.93646E-02   -2.41525E-03    4.81285E-03    4.94612E-03
  5.07121E-01    0.00000E+00    4.86838E-02    4.93773E-02    1.93325E-02   -2.56671E-03    4.80847E-03    4.94643E-03
  5.15300E-01    0.00000E+00    4.86610E-02    4.93776E-02    1.93095E-02   -2.71145E-03    4.80396E-03    4.94650E-03
  5.23479E-01    0.00000E+00    4.86391E-02    4.93795E-02    1.92823E-02   -2.86246E-03    4.79964E-03    4.94688E-03
  5.31659E-01    0.00000E+00    4.86153E-02    4.93809E-02    1.92638E-02   -3.00767E-03    4.79495E-03    4.94715E-03
  5.39838E-01    0.00000E+00    4.85930E-02    4.93839E-02    1.92416E-02   -3.15929E-03    4.79054E-03    4.94776E-03
  5.48018E-01    0.00000E+00    4.85704E-02    4.93852E-02    1.92281E-02   -3.30483E-03    4.78610E-03    4.94801E-03
  5.56197E-01    0.00000E+00    4.85483E-02    4.93885E-02    1.92113E-02   -3.45538E-03    4.78174E-03    4.94869E-03
  5.64376E-01    0.00000E+00    4.85258E-02    4.93917E-02    1.92023E-02   -3.60081E-03    4.77731E-03    4.94932E-03
  5.72555E-01    0.00000E+00    4.85038E-02    4.93953E-02    1.91898E-02   -3.75205E-03    4.77297E-03    4.95004E-03
  5.80734E-01    0.00000E+00    4.84811E-02    4.93983E-02    1.91849E-02   -3.89872E-03    4.76851E-03    4.95066E-03
  5.88913E-01    0.00000E+00    4.84588E-02    4.94031E-02    1.91775E-02   -4.05014E-03    4.76412E-03    4.95160E-03
  5.97093E-01    0.00000E+00    4.84364E-02    4.94075E-02    1.91774E-02   -4.19672E-03    4.75972E-03    4.95248E-03
  6.05272E-01    0.00000E+00    4.84143E-02    4.94126E-02    1.91743E-02   -4.34811E-03    4.75538E-03    4.95350E-03
  6.13452E-01    0.00000E+00    4.83915E-02    4.94183E-02    1.91778E-02   -4.49559E-03    4.75090E-03    4.95466E-03
  6.21631E-01    0.00000E+00    4.83691E-02    4.94244E-02    1.91792E-02   -4.64807E-03    4.74651E-03    4.95587E-03
  6.29810E-01    0.00000E+00    4.83465E-02    4.94294E-02    1.91877E-02   -4.79695E-03    4.74207E-03    4.95689E-03
  6.37990E-01    0.00000E+00    4.83245E-02    4.94360E-02    1.91944E-02   -4.95024E-03    4.73775E-03    4.95820E-03
  6.46169E-01    0.00000E+00    4.83018E-02    4.94420E-02    1.92071E-02   -5.09985E-03    4.73331E-03    4.95942E-03
  6.54349E-01    0.00000E+00    4.82793E-02    4.94498E-02    1.92177E-02   -5.25388E-03    4.72890E-03    4.96097E-03
  6.62528E-01    0.00000E+00    4.82564E-02    4.94562E-02    1.92349E-02   -5.40513E-03    4.72441E-03    4.96225E-03
  6.70707E-01    0.00000E+00    4.82342E-02    4.94639E-02    1.92514E-02   -5.56098E-03    4.72006E-03    4.96380E-03
  6.78887E-01    0.00000E+00    4.82114E-02    4.94705E-02    1.92737E-02   -5.71405E-03    4.71561E-03    4.96512E-03
  6.87066E-01    0.00000E+00    4.81889E-02    4.94783E-02    1.92945E-02   -5.87076E-03    4.71121E-03    4.96669E-03
  6.95246E-01    0.00000E+00    4.81655E-02    4.94859E-02    1.93210E-02   -6.02479E-03    4.70662E-03    4.96822E-03
  7.03425E-01    0.00000E+00    4.81429E-02    4.94948E-02    1.93474E-02   -6.18295E-03    4.70222E-03    4.97001E-03
  7.11604E-01    0.00000E+00    4.81204E-02    4.95019E-02    1.93798E-02   -6.33910E-03    4.69781E-03    4.97143E-03
  7.19784E-01    0.00000E+00    4.80987E-02    4.95109E-02    1.94112E-02   -6.49880E-03    4.69358E-03    4.97323E-03
  7.27962E-01    0.00000E+00    4.80753E-02    4.95187E-02    1.94480E-02   -6.65610E-03    4.68902E-03    4.97481E-03
  7.36141E-01    0.00000E+00    4.80535E-02    4.95280E-02    1.94844E-02   -6.81688E-03    4.68477E-03    4.97668E-03
  7.44321E-01    0.00000E+00    4.80310E-02    4.95363E-02    1.95261E-02   -6.97607E-03    4.68038E-03    4.97835E-03
  7.52500E-01    0.00000E+00    4.80088E-02    4.95453E-02    1.95675E-02   -7.13893E-03    4.67605E-03    4.98015E-03
  7.60680E-01    0.00000E+00    4.79862E-02    4.95546E-02    1.96137E-02   -7.30010E-03    4.67165E-03    4.98202E-03
  7.68859E-01    0.00000E+00    4.79647E-02    4.95637E-02    1.96595E-02   -7.46458E-03    4.66748E-03    4.98386E-03
  7.77038E-01    0.00000E+00    4.79421E-02    4.95723E-02    1.97098E-02   -7.62760E-03    4.66307E-03    4.98558E-03
  7.85218E-01    0.00000E+00    4.79195E-02    4.95816E-02    1.97600E-02   -7.79370E-03    4.65867E-03    4.98745E-03
  7.93397E-01    0.00000E+00    4.78968E-02    4.95907E-02    1.98147E-02   -7.95836E-03    4.65427E-03    4.98929E-03
  8.01577E-01    0.00000E+00    4.78733E-02    4.96012E-02    1.98695E-02   -8.12621E-03    4.64970E-03    4.99140E-03
  8.09756E-01    0.00000E+00    4.78503E-02    4.96106E-02    1.99285E-02   -8.29329E-03    4.64523E-03    4.99328E-03
  8.17935E-01    0.00000E+00    4.78263E-02    4.96200E-02    1.99876E-02   -8.46345E-03    4.64058E-03    4.99518E-03
  8.26115E-01    0.00000E+00    4.78018E-02    4.96297E-02    2.00507E-02   -8.63251E-03    4.63582E-03    4.99713E-03
  8.34294E-01    0.00000E+00    4.77777E-02    4.96402E-02    2.01144E-02   -8.80454E-03    4.63114E-03    4.99926E-03
  8.42474E-01    0.00000E+00    4.77526E-02    4.96501E-02    2.01824E-02   -8.97643E-03    4.62628E-03    5.00124E-03
  8.50653E-01    0.00000E+00    4.77275E-02    4.96606E-02    2.02508E-02   -9.15189E-03    4.62141E-03    5.00336E-03
  8.58832E-01    0.00000E+00    4.77012E-02    4.96703E-02    2.03224E-02   -9.32709E-03    4.61632E-03    5.00531E-03
  8.67012E-01    0.00000E+00    4.76750E-02    4.96808E-02    2.03946E-02   -9.50500E-03    4.61125E-03    5.00744E-03
  8.75191E-01    0.00000E+00    4.76475E-02    4.96907E-02    2.04717E-02   -9.68246E-03    4.60594E-03    5.00942E-03
  8.83369E-01    0.00000E+00    4.76214E-02    4.97014E-02    2.05502E-02   -9.86308E-03    4.60089E-03    5.01159E-03
  8.91549E-01    0.00000E+00    4.75938E-02    4.97112E-02    2.06319E-02   -1.00440E-02    4.59556E-03    5.01355E-03
  8.99728E-01    0.00000E+00    4.75661E-02    4.97218E-02    2.07140E-02   -1.02278E-02    4.59022E-03    5.01571E-03
  9.07908E-01    0.00000E+00    4.75379E-02    4.97323E-02    2.08003E-02   -1.04112E-02    4.58478E-03    5.01781E-03
  9.16087E-01    0.00000E+00    4.75094E-02    4.97423E-02    2.08887E-02   -1.05967E-02    4.57928E-03    5.01984E-03
  9.24266E-01    0.00000E+00    4.74815E-02    4.97530E-02    2.09811E-02   -1.07820E-02    4.57391E-03    5.02200E-03
  9.32446E-01    0.00000E+00    4.74538E-02    4.97642E-02    2.10741E-02   -1.09702E-02    4.56856E-03    5.02426E-03
  9.40625E-01    0.00000E+00    4.74245E-02    4.97759E-02    2.11702E-02   -1.11586E-02    4.56292E-03    5.02662E-03
  9.48805E-01    0.00000E+00    4.73963E-02    4.97872E-02    2.12679E-02   -1.13490E-02    4.55751E-03    5.02890E-03
  9.56984E-01    0.00000E+00    4.73673E-02    4.97985E-02    2.13697E-02   -1.15392E-02    4.55192E-03    5.03118E-03
  9.65163E-01    0.00000E+00    4.73391E-02    4.98121E-02    2.14727E-02   -1.17317E-02    4.54650E-03    5.03393E-03
  9.73343E-01    0.00000E+00    4.73110E-02    4.98246E-02    2.15789E-02   -1.19250E-02    4.54112E-03    5.03647E-03
  9.81522E-01    0.00000E+00    4.72820E-02    4.98374E-02    2.16862E-02   -1.21207E-02    4.53554E-03    5.03904E-03
  9.89702E-01    0.00000E+00    4.72534E-02    4.98510E-02    2.17968E-02   -1.23161E-02    4.53006E-03    5.04179E-03
  9.97881E-01    0.00000E+00    4.72243E-02    4.98651E-02    2.19088E-02   -1.25133E-02    4.52449E-03    5.04464E-03
  1.00606E+00    0.00000E+00    4.71962E-02    4.98802E-02    2.20246E-02   -1.27115E-02    4.51910E-03    5.04771E-03
  1.01424E+00    0.00000E+00    4.71680E-02    4.98946E-02    2.21416E-02   -1.29123E-02    4.51370E-03    5.05061E-03
  1.02242E+00    0.00000E+00    4.71389E-02    4.99099E-02    2.22613E-02   -1.31132E-02    4.50813E-03    5.05373E-03
  1.03060E+00    0.00000E+00    4.71108E-02    4.99256E-02    2.23825E-02   -1.33158E-02    4.50277E-03    5.05689E-03
  1.03878E+00    0.00000E+00    4.70817E-02    4.99425E-02    2.25071E-02   -1.35192E-02    4.49720E-03    5.06033E-03
  1.04696E+00    0.00000E+00    4.70544E-02    4.99593E-02    2.26334E-02   -1.37252E-02    4.49199E-03    5.06373E-03
  1.05514E+00    0.00000E+00    4.70264E-02    4.99764E-02    2.27629E-02   -1.39323E-02    4.48664E-03    5.06721E-03
  1.06332E+00    0.00000E+00    4.69985E-02    4.99937E-02    2.28938E-02   -1.41417E-02    4.48132E-03    5.07071E-03
  1.07149E+00    0.00000E+00    4.69704E-02    5.00112E-02    2.30273E-02   -1.43516E-02    4.47597E-03    5.07426E-03
  1.07967E+00    0.00000E+00    4.69426E-02    5.00306E-02    2.31623E-02   -1.45638E-02    4.47067E-03    5.07820E-03
  1.08785E+00    0.00000E+00    4.69146E-02    5.00493E-02    2.33007E-02   -1.47778E-02    4.46533E-03    5.08199E-03
  1.09603E+00    0.00000E+00    4.68870E-02    5.00682E-02    2.34408E-02   -1.49948E-02    4.46007E-03    5.08582E-03
  1.10421E+00    0.00000E+00    4.68596E-02    5.00868E-02    2.35834E-02   -1.52132E-02    4.45488E-03    5.08961E-03
  1.11239E+00    0.00000E+00    4.68319E-02    5.01065E-02    2.37275E-02   -1.54335E-02    4.44960E-03    5.09360E-03
